bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Jordanthribus-planifascietus-0.jpg,anthribidae-of-guam-1.jpg,Jordanthribus planifascietus,1243,282,1718,1387
Jordanthribus-planifascietus-1.jpg,anthribidae-of-guam-2.jpg,Jordanthribus planifascietus,1162,191,932,223
Jordanthribus-conspersus-2.jpg,anthribidae-of-guam-2.jpg,Jordanthribus conspersus,1157,186,1692,947
Jordanthribus-conspersus-3.jpg,anthribidae-of-guam-3.jpg,Jordanthribus conspersus,1245,271,1009,256
Notioxenus-fulgidus-4.jpg,anthribidae-of-guam-3.jpg,Notioxenus fulgidus,1250,273,1727,1251
Notioxenus-fulgidus-5.jpg,anthribidae-of-guam-4.jpg,Notioxenus fulgidus,1167,188,1474,221
Melanopsacus-parvulus-6.jpg,anthribidae-of-guam-4.jpg,Melanopsacus parvulus,1167,190,1681,1489
Melanopsacus-parvulus-7.jpg,anthribidae-of-guam-5.jpg,Melanopsacus parvulus,1236,267,1266,259
Mauia-subnotatus-8.jpg,anthribidae-of-guam-5.jpg,Mauia subnotatus,1236,275,1721,1459
Mauia-subnotatus-9.jpg,anthribidae-of-guam-6.jpg,Mauia subnotatus,1148,181,604,218
Araecerus-fasciculatus-10.jpg,anthribidae-of-guam-6.jpg,Araecerus fasciculatus,1146,176,1673,1205
Araecerus-vieillardi-11.jpg,anthribidae-of-guam-7.jpg,Araecerus vieillardi,1254,276,848,246
Araeocorynus-cumingi-12.jpg,anthribidae-of-guam-7.jpg,Araeocorynus cumingi,1247,290,1391,1104
