bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Papilio-xuthus-0.jpg,butterflies-of-guam-0.jpg,Papilio xuthus,1136,172,1687,951
Danaida-plexipus-1.jpg,butterflies-of-guam-1.jpg,Danaida plexipus,1237,271,1178,309
Euploea-eleutho-2.jpg,butterflies-of-guam-1.jpg,Euploea eleutho,1245,271,1584,1186
Euploea-leucostictos-kadu-3.jpg,butterflies-of-guam-1.jpg,Euploea leucostictos kadu,1240,273,1717,1599
Euploea-leucostictos-kadu-4.jpg,butterflies-of-guam-2.jpg,Euploea leucostictos kadu,1136,167,1408,226
Hypolimnas-bolina-5.jpg,butterflies-of-guam-2.jpg,Hypolimnas bolina,1133,167,1675,1408
Hypolimnas-bolina-6.jpg,butterflies-of-guam-3.jpg,Hypolimnas bolina,1223,258,567,263
Hypolimnas-anomala-7.jpg,butterflies-of-guam-3.jpg,Hypolimnas anomala,1216,265,1718,576
Issoria-egistina-8.jpg,butterflies-of-guam-4.jpg,Issoria egistina,1148,182,1395,597
Hypolimnas-octocula-marianensis-9.jpg,butterflies-of-guam-4.jpg,Hypolimnas octocula marianensis,1146,184,592,231
Neptis-guamensis-10.jpg,butterflies-of-guam-4.jpg,Neptis guamensis,1148,182,1513,1395
Catopsilia-crocale-11.jpg,butterflies-of-guam-4.jpg,Catopsilia crocale,1025,184,1691,1573
Terias-hecabe-12.jpg,butterflies-of-guam-5.jpg,Terias hecabe,1222,257,1717,1350
Catopsilia-crocale-13.jpg,butterflies-of-guam-5.jpg,Catopsilia crocale,1229,253,798,259
Appias-leis-subtuslutea-14.jpg,butterflies-of-guam-5.jpg,Appias leis subtuslutea,1224,253,1333,796
Cosmolyce-boeticus-15.jpg,butterflies-of-guam-6.jpg,Cosmolyce boeticus,1147,178,1588,1021
Terias-hecabe-16.jpg,butterflies-of-guam-6.jpg,Terias hecabe,1147,185,366,220
Melanitis-leda-17.jpg,butterflies-of-guam-6.jpg,Melanitis leda,1145,173,940,422
Zizula-gaika-18.jpg,butterflies-of-guam-6.jpg,Zizula gaika,1145,173,1686,1588
Zizula-gaika-19.jpg,butterflies-of-guam-7.jpg,Zizula gaika,1211,248,656,255
