bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Gonoxephalum-incisum-0.jpg,coleoptera-heteromera-from-guam-0.jpg,Gonoxephalum incisum,1257,245,1332,662
Uloma-cavicollis-1.jpg,coleoptera-heteromera-from-guam-0.jpg,Uloma cavicollis,1256,244,1735,1337
Formicomus-imperator-2.jpg,coleoptera-heteromera-from-guam-1.jpg,Formicomus imperator,1144,165,890,257
Euglenes-bifossicollis-3.jpg,coleoptera-heteromera-from-guam-1.jpg,Euglenes bifossicollis,1140,167,1685,1485
Anthicus-oceanicus-guamensis-4.jpg,coleoptera-heteromera-from-guam-1.jpg,Anthicus oceanicus guamensis,1140,167,1423,898
Euglenes-bifossicollis-5.jpg,coleoptera-heteromera-from-guam-2.jpg,Euglenes bifossicollis,1240,277,692,243
Glipa-guamensis-6.jpg,coleoptera-heteromera-from-guam-2.jpg,Glipa guamensis,1266,272,1710,1595
Micropelecotoids-fulvosericans-7.jpg,coleoptera-heteromera-from-guam-2.jpg,Micropelecotoids fulvosericans,1245,275,1538,1276
Euglenes-guamensis-8.jpg,coleoptera-heteromera-from-guam-2.jpg,Euglenes guamensis,1241,273,1210,704
Glipa-guamensis-9.jpg,coleoptera-heteromera-from-guam-3.jpg,Glipa guamensis,1140,179,560,208
Mordellistena-castanea-10.jpg,coleoptera-heteromera-from-guam-3.jpg,Mordellistena castanea,1140,157,1133,566
Zonitis-oceanica-11.jpg,coleoptera-heteromera-from-guam-3.jpg,Zonitis oceanica,1143,158,1338,1167
Lissodema-guamense-12.jpg,coleoptera-heteromera-from-guam-3.jpg,Lissodema guamense,1146,159,1675,1396
Dorcatomiella-guamensis-13.jpg,coleoptera-heteromera-from-guam-4.jpg,Dorcatomiella guamensis,1246,251,1331,826
Lissodema-guamense-14.jpg,coleoptera-heteromera-from-guam-4.jpg,Lissodema guamense,1230,263,665,242
