bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Trigonops-inusitata-0.jpg,curculionidae-of-guam-10.jpg,Trigonops inusitata,1169,176,1672,621
Trigonops-inusitata-1.jpg,curculionidae-of-guam-11.jpg,Trigonops inusitata,1278,293,677,248
Trigonops-inaequalis-2.jpg,curculionidae-of-guam-11.jpg,Trigonops inaequalis,1249,273,1725,1448
Trigonops-inaequalis-3.jpg,curculionidae-of-guam-12.jpg,Trigonops inaequalis,1158,183,463,212
Trigonops-subfasciata-4.jpg,curculionidae-of-guam-13.jpg,Trigonops subfasciata,1296,282,1733,446
Trigonops-hirsuta-5.jpg,curculionidae-of-guam-14.jpg,Trigonops hirsuta,1143,176,1684,430
Trigonops-hirsuta-6.jpg,curculionidae-of-guam-15.jpg,Trigonops hirsuta,1273,303,356,247
Trigonops-impura-7.jpg,curculionidae-of-guam-15.jpg,Trigonops impura,1283,284,1739,964
Trigonops-incrinita-8.jpg,curculionidae-of-guam-16.jpg,Trigonops incrinita,1163,182,1684,1101
Trigonops-impura-9.jpg,curculionidae-of-guam-16.jpg,Trigonops impura,1151,182,845,207
Trigonops-convexa-10.jpg,curculionidae-of-guam-17.jpg,Trigonops convexa,1253,275,1747,1169
Trigonops-incrinita-11.jpg,curculionidae-of-guam-17.jpg,Trigonops incrinita,1263,273,931,240
Trigonops-convexa-12.jpg,curculionidae-of-guam-18.jpg,Trigonops convexa,1138,170,733,209
Trigonops-vulgaris-13.jpg,curculionidae-of-guam-19.jpg,Trigonops vulgaris,1258,285,1709,790
Trigonops-vulgaris-14.jpg,curculionidae-of-guam-2.jpg,Trigonops vulgaris,1150,155,722,219
Cylas-formicarius-15.jpg,curculionidae-of-guam-20.jpg,Cylas formicarius,1165,172,1492,1180
Usingerius-maculatus-16.jpg,curculionidae-of-guam-21.jpg,Usingerius maculatus,1278,302,1735,1605
Usingerius-maculatus-17.jpg,curculionidae-of-guam-22.jpg,Usingerius maculatus,1196,164,1243,218
Amblycnemus-dentipes-18.jpg,curculionidae-of-guam-23.jpg,Amblycnemus dentipes,1269,294,1730,716
Athesapeuta-ulvae-19.jpg,curculionidae-of-guam-24.jpg,Athesapeuta ulvae,1153,171,1677,1150
Athesapeuta-ulvae-20.jpg,curculionidae-of-guam-25.jpg,Athesapeuta ulvae,1278,291,1089,252
Fergusoniella-21.jpg,curculionidae-of-guam-26.jpg,Fergusoniella,1155,177,579,391
Swezeyella-muscosa-22.jpg,curculionidae-of-guam-27.jpg,Swezeyella muscosa,1267,265,1437,242
Deretiosus-ficae-23.jpg,curculionidae-of-guam-29.jpg,Deretiosus ficae,1267,282,1631,254
Camptorhinus-dorsalis-24.jpg,curculionidae-of-guam-30.jpg,Camptorhinus dorsalis,1155,174,1310,584
Oreda-maculata-25.jpg,curculionidae-of-guam-31.jpg,Oreda maculata,1270,285,1594,237
Menectetorus-tutuilae-26.jpg,curculionidae-of-guam-32.jpg,Menectetorus tutuilae,1160,191,1540,1415
Menectetorus-vitiensis-27.jpg,curculionidae-of-guam-32.jpg,Menectetorus vitiensis,1160,186,1675,1550
Menectetorus-setulosus-28.jpg,curculionidae-of-guam-33.jpg,Menectetorus setulosus,1271,281,1096,548
Neoampagia-imitator-29.jpg,curculionidae-of-guam-35.jpg,Neoampagia imitator,1293,282,1484,253
Anaballus-amplicollis--30.jpg,curculionidae-of-guam-36.jpg,Anaballus amplicollis ,1148,171,957,266
Euscepes-postfasciatus-31.jpg,curculionidae-of-guam-36.jpg,Euscepes postfasciatus,1165,154,1684,1007
Acalles-samoanus-32.jpg,curculionidae-of-guam-37.jpg,Acalles samoanus,1233,267,1031,433
Daealus-tuberosus-33.jpg,curculionidae-of-guam-38.jpg,Daealus tuberosus,1141,166,1706,1337
Daealus-tuberosus-34.jpg,curculionidae-of-guam-39.jpg,Daealus tuberosus,1279,284,1426,253
Daealus-tibialis-35.jpg,curculionidae-of-guam-40.jpg,Daealus tibialis,1160,190,1588,473
Microcryptorhynchus-guamae-36.jpg,curculionidae-of-guam-42.jpg,Microcryptorhynchus guamae,1141,181,1431,469
Microcryptorhynchus-premnae-37.jpg,curculionidae-of-guam-43.jpg,Microcryptorhynchus premnae,1279,295,1447,544
Microcryptorhynchus-spinifer-38.jpg,curculionidae-of-guam-44.jpg,Microcryptorhynchus spinifer,1167,176,1535,594
Microcryptorhynchus-basipennis-39.jpg,curculionidae-of-guam-45.jpg,Microcryptorhynchus basipennis,1235,245,1400,484
Cylindrotrypetes-suffusus-40.jpg,curculionidae-of-guam-46.jpg,Cylindrotrypetes suffusus,1129,175,1694,1380
Choerorrhinodes-constricticeps-41.jpg,curculionidae-of-guam-49.jpg,Choerorrhinodes constricticeps,1235,231,1548,513
Choerorrhinodes-marshalli-42.jpg,curculionidae-of-guam-50.jpg,Choerorrhinodes marshalli,1158,181,1691,545
Choerorrhinodes-flavisetosus-43.jpg,curculionidae-of-guam-51.jpg,Choerorrhinodes flavisetosus,1239,261,1709,729
Choerorrhinodes-flavisetosus-44.jpg,curculionidae-of-guam-52.jpg,Choerorrhinodes flavisetosus,1117,142,643,213
Stenotrupis-tenuis-45.jpg,curculionidae-of-guam-53.jpg,Stenotrupis tenuis,1250,266,1257,250
Tytthoxydema-exilis-46.jpg,curculionidae-of-guam-55.jpg,Tytthoxydema exilis,1265,279,1747,249
Rhinanisodes-planicollis-47.jpg,curculionidae-of-guam-57.jpg,Rhinanisodes planicollis,1278,255,1766,555
Himatinum-bisetosum-48.jpg,curculionidae-of-guam-58.jpg,Himatinum bisetosum,1182,177,1689,954
Rhinanisodes-planicollis-49.jpg,curculionidae-of-guam-58.jpg,Rhinanisodes planicollis,1180,184,390,221
Himatinum-bisetosum-50.jpg,curculionidae-of-guam-59.jpg,Himatinum bisetosum,1238,255,868,263
Dryotribodes-obscurus--51.jpg,curculionidae-of-guam-61.jpg,Dryotribodes obscurus ,1280,258,1728,1216
Dryotribodes-obscurus--52.jpg,curculionidae-of-guam-62.jpg,Dryotribodes obscurus ,1150,150,980,219
Dryotribodes-angularis-53.jpg,curculionidae-of-guam-62.jpg,Dryotribodes angularis,1150,155,1674,1075
Dryotribodes-angularis-54.jpg,curculionidae-of-guam-63.jpg,Dryotribodes angularis,1214,246,1004,253
Dryotribodes-denticulatus-55.jpg,curculionidae-of-guam-63.jpg,Dryotribodes denticulatus,1218,253,1737,1296
Dryotribodes-denticulatus-56.jpg,curculionidae-of-guam-64.jpg,Dryotribodes denticulatus,1138,160,1387,202
Oxydema-fusiforme-57.jpg,curculionidae-of-guam-65.jpg,Oxydema fusiforme,1220,238,1349,895
Oxydema-longulum-58.jpg,curculionidae-of-guam-65.jpg,Oxydema longulum,1220,238,1717,1357
Aphanocorynes-humeralis-59.jpg,curculionidae-of-guam-66.jpg,Aphanocorynes humeralis,1177,172,1277,534
Eutornus-nigriceps-60.jpg,curculionidae-of-guam-66.jpg,Eutornus nigriceps,1155,177,1694,1537
Eutornus-nigriceps-61.jpg,curculionidae-of-guam-67.jpg,Eutornus nigriceps,1249,272,1595,252
Macrancylus-niger-62.jpg,curculionidae-of-guam-68.jpg,Macrancylus niger,1162,179,1685,966
Phloeophagosoma-sulcirostre-63.jpg,curculionidae-of-guam-69.jpg,Phloeophagosoma sulcirostre,1227,260,1720,1612
Macrancylus-niger-64.jpg,curculionidae-of-guam-69.jpg,Macrancylus niger,1239,255,993,259
Viticis-guamae-65.jpg,curculionidae-of-guam-7.jpg,Viticis guamae,1291,281,1739,1104
Viticis-guamae-66.jpg,curculionidae-of-guam-70.jpg,Viticis guamae,1184,187,1407,219
Rhabdocnemis-obscura-67.jpg,curculionidae-of-guam-71.jpg,Rhabdocnemis obscura,1249,236,1163,535
Cosmo-polites-sordidus-68.jpg,curculionidae-of-guam-71.jpg,Cosmo polites sordidus,1225,255,1545,1240
Polytus-mellerborgi-69.jpg,curculionidae-of-guam-71.jpg,Polytus mellerborgi,1227,258,1747,1593
Calandra-oryzae-70.jpg,curculionidae-of-guam-72.jpg,Calandra oryzae,1184,176,1233,633
Diocalandra-frumenti-71.jpg,curculionidae-of-guam-72.jpg,Diocalandra frumenti,1189,169,1680,1303
Diocalandra-frumenti-72.jpg,curculionidae-of-guam-73.jpg,Diocalandra frumenti,1244,260,727,256
Trigonops-insularis-73.jpg,curculionidae-of-guam-9.jpg,Trigonops insularis,1254,290,874,443
