image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Tytthoxydema exilis.jpg,"34. Tytthoxydema exilis, new species (pl. 5, 1).<br>Derm pieeous, moderately shiny<br> dorsal setae pale, inconspicuous<br>Head as long as broad, distinctly constricted on sides behind eyes, constriction only<br>slightly, shallowly and broadly interrupting dorsal outline, but not impressed as a suture<br>across dorsum, longitudinal dorsal outline of crown and front sinuous, constriction, when<br>measured from above, length of an eye behind eyes, three ﬁfths to three fourths length<br>of an eye behind eyes on sides<br> area behind constriction impunctate or with a few, scat—<br>tered, minute, hardly discernible punctures, area beyond constriction, and interocular<br>area, densely and evenly puncmte, punctures not large, individually distinct and usually<br>separated by interstices about as broad as punctures, punctures bearing minute, specklike<br>setae<br> interocular area slightly less than three times as broad as an eye as viewed from<br>front<br> eyes separated by about one and one half times length of an eye from prothorax<br>on sides. Rostrum, measured from side, as long as head, two ﬁfths as long as prothorax<br><br>emarginate on sides between eyes and antennae, thence rather strongly expanded and<br>rather straight~sided to near apex, broadest apical breadth about one third narrower than<br>narrowest basal breadth in male, less strongly expanded in female<br> puncturation ﬁner<br>and much less distinct than that of interocular area, dull and coarsely reticulate in male,<br>shiny in female<br> antennae inserted at about basal fourth at about half the breadth of an<br>eye in front of eyes<br> scrobes passing rapidly down to lower anterior edge of eyes, but<br>not continued much past fore margins of eyes. Antennae with scape reaching slightly,<br>but distinctly behind posterior margin of eye to a point about half way between eye and<br>cephalic constriction<br> first funicular segment stout, subconical, about as long -as 2 plus 3,<br>2 hardly longer than 3, 3 to 5 moniliform and subequal<br> club slightly longer than four<br>preceding segments. Prothorax slightly to more than one sixth longer than broad, broadest<br>near basal third, base slightly constricted, thence arcuately narrowing to distinct, well-<br>deﬁned, subapical constriction which hardly interrupts the almost straight longitudinal<br>dorsal contour<br> dorsal pnncturation rather similar to that on front of head, punctures<br>rather small, dense, even, individually distinct, separated by interstices equal to about<br>breadths of punctures, and bearing specklike setae. Elytra somewhat more than twice as<br>long as broad (6:225), more than twice as long as prothorax in the same proportions<br><br>striae w'ell marked but not coarse, narrower than intervals, their punctures rounded or<br>quadrate, coarser toward base and there often as broad or broader than intervals, each<br>puncture bearing a ﬂecklilce seta, tenth stria approximated by ninth above metacoxa but<br>evidently continued to apex<br> intervals ﬂat or but slightly convex, at most very minutely<br>punctate, and bearing hardly discernible sctae, the ninth interval hardly swollen at its<br>junction with third interval, hardly curved upward at apex and there about twice breadth<br>of third interval from apex. Legs with tibiae rather evenly expanded from base to apex,<br>base of hind pair about half as broad as apex, nnci long, slender, well developed, tooth at<br>inner apical angle well developed, slender and sharp<br> tarsi with third segment slightly<br>broader than second, truncate apically below, not bilobed, fourth segment almost as long<br>as three preceding segments together. Sigma<br> with prosternum broadly impressed in<br>middle in front of coxae, not quite twice as long in front of coxae as behind coxae, inter-<br>coxal process slightly narrower than breadth of a coxa, densely punctatc, more coarsely<br>so in front of coxae, punctures not tending to be laterally conﬂuent<br> mesosternum on<br>same plane as metastcrnum, intercoxal process punctate, not quite twice as broad as a<br>mesocoxa<br> metasternutn densely punctate, punctures rather similar to those on pronorum,<br>but slightly larger and individually more distinct, distance between mid and bind coxac<br>three times as long as breadth of a mesocoxa, metacoxae separated by slightly more than<br>breadth of a mesocoxa. Ventev‘ with ﬁrst two ventrites with similar or somewhat less<br>dense puncturation than metasternum, ﬁrst impressed down middle in male, tumid in<br>female<br> ventrites 2 and 3 with a row of punctures at their bases only<br> ventrite 5 trans-<br>versely impressed before apex, ﬁnely punctatc, coarsely reticulate, sctose behind. Length,<br>1.75—2.25 mm<br> breadth, 0.5416 mm."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Fergusoniella.jpg,"Fergusoniella, new name.<br>Fergusonia Lea, Soc. Ent. Belg, Mam. 18:125, 1911<br> homonym, pre—<br>occupied by the amphibian Fergmmtia Hoffmann, in Bronn’s, Die Klasseu und<br>Ordnungen des Thier-Reichs wissenshaitlich dargestelt in Wort und Bild<br>6(2) :629, 1878."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Macrancylus niger.jpg,"43. Macrancylus niger, new species (pl, 5, F).<br>Male: derm black, shiny, polished, appendages diluted with red<br> setae minute, pale,<br>and inconspicuous<br>Head as broad across eyes as length of head from pronotum to anterior edges of eyes,<br>conspicuously constricted on sides at or slightly more than the length of an eye, as meas—<br>ured from above, behind eyes, constriction continued broadly across dorsum<br> area behind<br>constriction almost impunctate, with a few small punctures near constriction only, punc—<br>turation beyond constriction continuous with that of rostrum, punctures small and sepa-<br>rated by interstices as broad or broader than their diameters<br> eyes not prominent, extend-<br>ing laterally only one sixth oi length of an eye<br> interocular area almost three times as<br>broad as length of an eye as measured from above, with only an inconspicuous, sub-<br>obsoletc median impression, longitudinal dorsal contour continuous with that of rostrum,<br>Rostrum as long beyond eyes as side of head from prothorax to fore edges of eyes, almost<br>one half as long as prothorax, somewhat more than twice as long as an eye, about as long<br>as basal breadth of rostrum, lateral outlines almost straightly narrowing from hind mar-<br>gins of eyes to apex, narrowest apical breadth bearing a ratio of 13 to 15 with basal<br>breadth<br> puncturation similar to and continuous with that of front, but becoming ﬁner<br>distally<br> upper margin of scrobe touching lower margin of eye, lower margin extending<br>back at least as far as middle of eye<br> antennae inserted at about half length of an eye in<br>front of eyes. Antennae with scape reaching behind eye to cephalic constriction, arcuatc<br><br>ﬁrst funicular segment somewhat longer than broad, somewhat longer than 2 plus 3, 2 to 7<br>transverse and each successively somewhat broader<br> club compressed, ﬁve sixths as broad<br>as long, longer than preceding six segments. Prathm'ax longer than broad (35:2.8), base<br>and apex subtruncate, rounded on sides in basal fourth, broadest in basal third thence<br>slightly areuately narrowing to rather shallow subapieal constriction, constriction broadly<br>and shallowly interrupting otherwise evenly, ﬂatly arcnate longitudinal dorsal outline<br><br>discal punctures about two or three times as large as those on head, separated by not<br>more than their diameters. Elytra slightly more than two and one third times as long as<br>broad, somewhat more than twice as long as prothorax, subparallel-sided to beyond basal<br>two thirds, outline thence slightly sinuously rounded to apex but not distinctly constricted<br><br>striae narrow, deep, well deﬁned, slightly narrower than intervals, their punctures close,<br>well deﬁned, bearing microscopic setae, outer stria narrowed above metacoxa and almost<br>inipunctate above ﬁrst two ventrites <br> intervals convex, each with a row of minute pune~<br>tures bearing microscopical setae, first interval widening at apex, and there the right one<br>distinctly broader than the left, and about twice as broad as Z, l narrower than 2 on disk,<br>3 slightly more elevated on declivity than the others, 8 beginning at about posterior<br>fourth of metastcrnum, 9 costiform behind second ventrite, fused with third and thence<br>joining second at elytral apex. Legs with femora sparsely punctate<br> tibiae strongly<br>uncinate and mucronate, a mucro about half as long as an uncus, fore pair angulate at<br>middle of lower edge<br> third tarsal segment hardly broader than second, entire or but<br>slightly emarginate distally, second segment about as long as third<br> claws strongly<br>divergent. Summon with prosternum closely punctate throughout, three times as long in<br>front of as behind coxae, intercoxal process about ﬁve scvcnths as broad as distance between<br>coxa and hind margin of prosternuni<br> mesosternum on same plane as metasternum, closely<br>punctate, intercoxal process one fourth broader than a mesocoxa<br> metastcrnum closely<br>puuetate throughout, punctures separated by interstices as broad or broader than punc—<br>tures on the disk but narrower than punctures on sides, median line sulcate from in front of<br>middle to apex, not quite four times as long between mid and hind coxae as length of a<br>inesocoxa, suture at mesostcrnum almost obliterated, metacoxae separated by breadth of a<br>niesocoxa. Veriﬁer with ﬁrst two ventrites shallowly impressed down middle, Ventrite 1<br>with larger and more numerous punctures than 2, 2 mostly sparsely and minutely punc-<br>tate, 3 and 4 with a row of coarser punctures at their bases and a few smaller scattered<br>punctures<br> 5 impressed in distal half, with dense punctures similar to those on 1, Length,<br>2.75 mm.<br> breadth, 0.75 mm."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Dryotribodes obscurus .jpg,"37A Dryotribodes obscurus, new species (pl. 5, A).<br>Female: dcrm coarsely rcticnlate, dull black, antennae and tarsi diluted with red:<br>sctae pale<br> with a thin greasy incrustation.<br>Hand as broad across Eyes as length from pronotum to forc margins of eyes: shallows y<br>constricted at about half the length of an eye. behind eyes as measured from above, con—<br>striction only shallowly impressed across dorsum<br> almost impunctate behind constriction,<br>but with a fcw microscopic punctures, coarsely, densely, subconﬂuently punctate beyond<br>constriction, pnncturation continuous with that of rostrum<br> eyes prominent, projecting<br>for about half their breadths beyond lateral margins of head, subhemispherical<br> interv<br>ocular area twice as broad as an eye as measured from above. Rom/1m: with longitudinal<br>dorsal contour continuously and evenly arcuate with inter-ocular area, ﬁve seventlis as<br>long from fore margins of eyes to apex as prothorax and twice as long as basal breadth,<br>subparallcl-sidcd, but just perceptibly narrowed from base to antennae, thence expanded<br>to apex, greatest apical breadth hearing the ratio 1.4 to 1.2 to the narrowest post antennal<br>brcadth<br> very densely and coarsely punctate throughout, punctures tending to be in part<br>subcontinent, their interstices much narrower than their hreadths and making surface<br>rough<br> antennae inserted at about middle at twice the length of an eye from fore edge<br>of an eye AlllEWmC with scape stout, reaching to, but not past cephalic constriction<br> ﬁrst<br>   <br>  <br>funicular segment about one third longer than broad, as long as 2 plus 3, 2 longer than<br>3, 3 to 7 transverse, successively very slightly broader<br> club as long as the ﬁve preceding<br>segments Prothm'ax longer than broad (2.0: 1.8), base truncate, apex slightly concave,<br>slightly constricted on sides at base, thence evenly arcnate to wellvinarked subapical con-<br>striction<br> constriction not distinctly interrupting evenly arcuatc longitudinal dorsal out-<br>line, broadcst at about middle<br> pnncturation coarse and dense, interstices coarsely rcticu»<br>late, about half as broad as punctures on disk, discal punctures as broad as second funicular<br>segment<br> setae decumbcnt, hardly discernible from above, but distinct when viewed from<br>sidesi Ell-tn}, coarsely reticulate, about twice as long as broad, two and one fourth times<br>as long as prothorax, broadest behind middle, slightly arcuate near base, thence sub-<br>parallel~sided, but evidently slightly expanded to apical third, thence constricted at apical<br>fourth<br> striae coarse and deep, broader than intervals, their punctures large, coarse, Sub‘<br>quadrate, not disn‘nctly setose<br> intervals regular on disk, convex, more so behind, each<br>bearing a row of distinct, decurved sctae, sixth interval giving rise to three intervals<br>above metacoxa, seventh interval, as counted at base. ninth as counted behind middle,<br>prominently costiforni behind third ventritc, joining third and reaching second at apex,<br>but not interrupting lateral elytral outline, Legs with tcmora coarsely and densely punc—<br>turcd<br> tibial unci and tooth at inner apical angle well developed<br> third tarsal segment<br>one fourth broader than second, deeply bilohed. Stew/nun. with prosternum coarsely, deeply<br>and densely punctured, about two and one half times as long before coxal cavities as<br>behind, intercoxal process slightly narrower than breadth of a coxa<br> mesosternuin coarsely<br>punctate and slightly broader between mesocoxae than breadth of a coxa, intercoxal process<br>on same plane as metastcrnum<br> metastcrnuin coarsely, deeply, closely punctured, not quite<br>twice as long between mid and bind coxae as breadth of a mesocoxa, metacoxae separated<br>for about length of metasternum between mid and hind coxae. Vent/2r with ﬁrst tWo<br>ventritcs tumid, but slightly depressed medially, puncturation coarse, dccp, dense, and<br>similar to that of metasternum<br> Ventrites 3 and 4 each with a complete row of coarsc,<br>closely sct punctures<br> ventrite 5 densely set With coarse punctures similar in size to those<br>on ﬁrst two ventritcs. Length, 3.0 min<br> breadth, 1.1 mm."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Acalles samoanus.jpg,"22. Acalles samoanus Marshall, Insects of Samoa 4(5) :280—281, 1931 (pl.<br>3, C ).<br>This is a widespread species known from Fiji, Tonga, and Samoa and east—<br>ward through the Austral, Society, Mangareva, and Marquesas Islands.<br>As is usual for the species, it varies greatly in size, shape, sculpture and<br>development of the dorsal tubercles in the series from Guam before me, How—<br>ever, there is more extreme variation in the Guam material than I have seen<br>in specimens from other islands, and two extreme, isolated individuals might<br>almost be taken for distinct species. Clean specimens can perhaps be most<br>easily recognized by the conspicuous patch of white squamae at either side of<br>the base of the pronotum in front of the ﬁfth elytral intervals in combination<br>with their tuberculate dorsum and other characters. For a complete descrip»<br>tion, discussion and illustration, see my “Cryptorrhynchinae of the Austral<br>Islands” (B. P. Bishop Mus., Occ. Papers 12(17) : 5—7, ﬁg 2, b, 1936).<br>The following specimens from Guam are before me: two at Machanao,<br>June 5, 1936, Usinger<br> one, Fadian, Sept. 18, Swezey <br> and two taken by Fulla-<br>way without speciﬁc locality"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Eutornus nigriceps.jpg,"42. Eutornus nigriceps, new species (pl. 5, H).<br>Derm rather shiny above, reddish brown with head and rostrum mostly black,<br>rostrum more diluted with red. apex of prothorax dark, elytra clouded with black in<br>caudal fourth,<br>H cad one fourth broader across eyes than the length of median line from pronotunl to<br>anterior margins of eyes<br> minutely punctatc, punctures separated by interstices as broad<br>or much broader than their diameters and each puncture bearing a minute, specklike seta<br><br>with a feeble, elongate interocular impression<br> slightly and inconspicuously constricted on<br>sides at about half the length of an eye behind eyes, constriction not impressed across<br>dorsum, longitudinal dorsal contour evenly and continuously arcuate with front and rostrum<br><br>interocular area three times the breadth of an eye as measured from above. Rostrum as<br>long from front of eycs to apex as hcad from prothorax to front of eyes, less than half<br>as long as pronotum, hardly longer than its basal breadth<br> sides almost straight and sub-<br>parallel, but slightly broader beyond antennae than before<br> puncturation similar to that<br>on head, but somewhat denser<br> epistome conspicuously emargiuate and bidentatc apically<br><br>inner lobe of gena projecting into a sharp point<br> antennae inserted at basal third at almost<br>length of an eye in front of eyes<br> lower edge of serobe reaching venter of rostrum on line<br>with fore edge of eye, upper edge touching eye. Antennae with scape rather strongly<br>bent upward at about middle to curve around lower edge of eye, one third broader beyond<br>middle than at base, reaching to slightly in back of eye to cephalic constriction<br> funicle<br>with ﬁrst segment about as long as 2 plus 3 plus 4, hatchet shaped, 2 to 7 subequal in<br>length, but each successively slightly broader<br> club compressed, as broad as long, about<br>as, long as six preceding segments. Protlmrax not quite one fourth longer than broad<br>(38: 3.2), base slightly sinuous, apex shallowly concave in middle, roundly expanded on<br>sides from base to basal fourth, broadest at basal fourth, thence very slightly arcuately,<br>almost straightly narrowed to strongly impressed subapieal constriction at length of an<br>antenna] club from apex, apical part collar-like, constriction narrowly and slightly im-<br>pressed across otherwise cvcnly and slightly longitudinally arcuate dorsal contour<br> derm<br>shiny, punctures small, separated by interstices as broad or slightly broader than their<br>diameters, their setae minute and specklike. Elytra two and one fourth times as long as<br>broad, slightly more than two and one half times as long as prothorax<br> base emarginate<br>at scutellum<br> subparallel-sided to apical fourth, thence broadly rounded to apex, without<br>an obvious subapical constriction, apices conjointly emarginate<br> striae distinctly narrower<br>than intervals, their punctures broader than grooves, comparatively shallow, lateral stria<br>distinct and complete throughout<br> intervals ﬂat or but slightly convex, each with a row<br>of small punctures bearing microscopical setae, 1 one third narrower than 2 at middle,<br>9 becoming narrowly elevated and rather sharply cariuiform above ﬁrst ventrite, broader<br>and costiform beyond third ventritc, joining 3 at about breadth of 2 from apexr Logs with<br>femora stout, fore pair about half as broad as long, minutely punctate<br> tibiae strongly<br>uncinate and mucronate, fore pair angulate on lower edge at slightly beyond middle,<br>posterior face produced into a distinct conspicuous tooth at apical third<br> tarsi with third<br>segment about one fourth broader than second, shallowly concave at the apex, claws<br>slender, only slightly divergent, Stermmz with prosternum broadly depressed down mid-<br>dle, closely set with small shallow punctures, three times as long before as behind<br>coxae, intercoxal process slightly narrower than breadth of a coxa<br> mesosternum on same<br>plane as metasternum, punctures shallow and separated by about their diameters, one ﬁfth<br>broader between coxae than breadth of a coxa<br> metasternum shallowly impressed on sides<br><br>punctures similar to or somewhat larger and deeper than those of mesosternum, two and<br>one half times as long, between mid and hind coxae as breadth of intercoxal process of<br>mesosternum, mctacoxae separated about as widely as mesocoxae. Vmier with ﬁrst two<br>ventrites with small punctures separated by one and one half or more times their diameters<br><br>ventrites 3 and 4 with their bases crenulated with punctures, their disks with a few minute<br>punctures<br> ventrite 5 with coarser and denser punctures, Length, 3.1 mm<br> breadth,<br>0.95 mm."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Microcryptorhynchus basipennis.jpg,"28. Microcryptorhynchus basipennis, new species (pl, 3, D)<br>Derm mostly reddish brown, covered with a very thick, dense yellowish or whitish<br>incrustatiou that usually greatly distorts true outlines of body and sometimes enlarges<br>lateral outline of body to about a. fourth broader than actual breadth<br> setae white or<br>yellowish.<br>H end completely concealed from above by the pronoturn, ﬁnely, indistinctly punctate,<br>with a single row of stout, spatulate, erect setae along inner margins of eyes that extends<br>on crown above eyes, Rostrum with at most lines of ﬁne punctures<br> but not distinctly<br>carinate or sulcate, median line, however, sometimes appearing more polished near antenv<br>nae<br> with a single row of setae, similar to those along eyes, on either side and occasionally<br>one etc a few similar setae on either side of median line just behind antennae, but without<br>a distinct additional row of spatulate setae. P'rathorax, when denuded of incrustation, dis-<br>tinctly longer than broad (2.522), rounded on sides in basal three ﬁfths, thence distinctly<br>constricted, constriction continued deeply and prominently across dorsum at distal two<br>ﬁfths<br> basal squamose area modiﬁed into an almost perpendicular, sub—hemispherical area<br><br>with a few erect sharp or narrowly spatulate setae scattered acr05s disk and two or three<br>rows across apex, apical sctae usually broader<br> punctures not large, but coarse, deep and<br>dense, their interstices very narrow, the disk roughened by their densityi Elytm, when<br>abraded, elongate ovate, with a slight subapical constriction, three ﬁfths as broad as long,<br>twice as long as prothorax, rather evenly convex in longitudinal dorsal outline and not<br>rising far above level of pronotum<br> striac very coarse, about twice as broad as intervals,<br>their punctures large, subquadrate, their interstices about as broad as intervals<br> intervals<br>convex, only alternate ones bearing setae, setae erect and distinct, variableJ usually slender<br>and sharp, but sometimes narrowly spatulate, rows sometimes more or less incomplete,<br>second interval with a small, conical, sharply pointed, sclerotized spine at base that is<br>shorter than setae and may become obscured by incrustation, Legs with femora and tibiae<br>with scattered erect setae<br> tibial unci well developed Stzmum with mesosternal recep—<br>tacle deep and cavernous, walls but slightly elevated, terminating close to bind margins ol<br>mesocoxae in female and but slightly more anteriorly in male<br> metasternum moderately<br>coarsely punctate, slightly shorter between mid and hind coxae than breadth of a meso-<br>coxa<br> metacoxa separated by twice median length of metasternum. Venter with ﬁrst two<br>ventrites densely and coarsely punctured, but punctures not very large, intercoxal process<br>but slightly arcuate<br> ventrite 5 rather indistinctly punctate<br> setose. Length, 164.8 mm<br><br>breadth, 0.6-(18 mm. '"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Choerorrhinodes flavisetosus.jpg,"32. Choerorrhinodes ﬂavisetosus, new species (pl. 4, F).<br><br>~ Male: derm dull reddish brown, to black, appendages paler, dorsum piccous<br> setae<br>conspicuously golden yellow.<br>H earl without a constriction behind eyes, sides evenly arcuate from base to eyes, dor-<br>sum strongly convex, coarsely reticulate, almost entirely impunctate and bare from base<br>to a line just back of eyes, thence densely, rather coarsely punctate, the stout golden setae<br>somewhat more condensed along inner margins of eyes and across top of punctate front<br><br>interocular area twice as broad as an eye as viewed from above, dorsal outline straightly<br>continuous with that of rostrum<br> eyes separated from prothorax by only about longitudinal<br>diameter of an eye. Rostrum slightly arcuate below, almost straight, straight above almost<br>to antennae, thence gently arcuate, about three ﬁfths as long as pronotum, hardly narrowed<br>on sides from base to antennae, appearing slightly, rather evenly expanded from base to<br>apex, greatest apical breadth only about one eighth broader than narrowest post»antcnnal<br>breadth<br> coarsely reticulate, puncturation mostly similar to that on interocular area, but<br>becoming shallower and less deﬁnite distally, with a few scattered golden setae<br> antennae<br>inserted at middle but appearing more apically inserted because of scrobe being continued<br>past insertion<br> scrobes deep and well deﬁned to near fore margin of eyes, evanescent behind<br>and without a posterior delimiting carina, Antennae with scape stout, reaching to hind<br>margin of eye<br> ﬁrst funicular segment about one third broader than 2, about as long as 2<br>plus 3, 2 longer than 3, 3 less bulky than 4 or 5, 3 to 5 successively larger and more trans—<br>verse<br> club stoutly oval, as long as four preceding segments. Prat/term as broad as long,<br>broadest at about basal third, strongly rounded on sides, most strongly so in basal third<br>from truncate base to strongly marked subapical constriction, constriction only slightly<br>impressed across otherwise slightly arcuate, somewhat ﬂattened longitudinal dorsal con~<br>tour<br> apex slightly, broadly emarginate<br> coarsely reticulate<br> disk densely punctate, punc-<br>tures moderately large, but shallow, their interstices narrower than their diameters <br> most<br>of punctures bearing coarse, decumbent, medially directed, golden setae. Elytm coarsely<br>reticulate, twice as long as broad, somewhat more than twice as long as prothorax <br> base<br>subtruncate, subparallel‘sided to apical third, thence broadly rounded to apex<br> striae mostly<br>rather shallow and not sharply margined, narrower than intervals, their punctures com~<br>paratively shallow and broader than grooves, bearing minute, hardly discernible setae<br><br>outer stria terminating at metacoxa<br> intervals ﬂat or almost so, punctate, punctures bearing<br>coarse, blunt golden setae, setae very conspicuous, slanting, close set in single rows, about<br>as long as breadth of intervals, with ninth interval becoming more costiform above fourth<br>ventrite and joining third. Legs with femora and tibiae with scattered, decumbent, golden,<br>ﬁne hairlike setae<br> tibial unci well developed, so formed that their inner margins arise<br>from a point near inncr apical angles of tibiae, their inner margins, at least on fore pair,<br>making a continuous concave curve that ends in tooth at inner apical angle, teeth at inner<br>apical angles minute<br> third tarsal segment deeply bilobed, fourth segment beginning at<br>basal third of third segment. Stenmm with prosternum coarsely and densely punctate,<br>interstices narrower than punctures, subapical constriction deeply impressed across apical<br>fourth, distance between fore margin of coxae and apex more than twice that behind coxae,<br>intercoxal process only one third as broad as a coxa<br> intercoxal process of mesosternum<br>ﬂat, about two thirds as broad as a coxa<br> metasternum broadly concavely ﬂattened down<br>middle in male, densely, rather coarsely punctured, interstices narrower to almost as broad<br>as punctures, each puncture bearing a decumbent golden seta, median line striaform,<br>impunctate, distance between mid and hind coxae three times length of a metacoxa at tro‘<br>chanter or slightly more than twice as broad as a mesocoxa, metacoxae separated by a dis»<br>tance equal to twice length of a metacoxa at trochanter. Venier with ﬁrst two ventrites<br>punctate and setosc as the metasternum, the ﬁrst rather deeply and broadly concave in the<br>male<br> ventrites 3 and 4 ﬁnely punctate near fore and hind margins<br> ventrite 5 densely set<br>with setiferous punctures, convex, but with about apical half scmi»circularly impressed and<br>less coarsely punctate. Length, 23 mm.<br> breadth, 0.8 mm."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Oreda maculata.jpg,"17. Oreda maculata, new species (pl, 2, F).<br>Derm black, quite shiny where exposed<br> (lensely squamose above and below, scaling<br>colored as follows: head and rostrum with white or yellowish and black scales inter-<br>mixed<br> prothorax black with a patch of yellowish or white scales on either side of apex,<br>scales in discal fovca pale, with a pale patch on each side in line with discal foveae, a short<br>pale prescutellar vitta and with pale scaling at base at least in front of elytral intervals<br>4 and 5<br> elytra mostly black but with a scattering of small patches or specks of White or<br>yellowish and with a large, conspicuous, pale, irregular macula consisting of brownish<br>yellow scales beginning at the base on the ﬁrst two intervals and extending to near middle,<br>but broadening out and extending laterally over intervals 3 to 5 behind their basal fascicles<br>or calli and usually with a distinct pale patch at apex of interval 5<br> legs with femora with<br>a pale band at base and usually a pale, dorsal, subapical patch and flecked with pale, but<br>otherwise black, tibiae with apical half or third mostly pale, otherwise black<br> scaling below<br>usually predominantly white, but With a variable amount of black scaling.<br>Head densely punctured, derm concealed by sealing<br> interocular area slightly expanded<br>from top of eyes to base of rostrum, coarsely punctate, squamae erect or suberect<br> inner<br>and dorsal margins of eyes making almost right angles (when viewed from front).<br>Rostrum coarsely and densely sculptured and densely squamose almost to apex in male,<br>only at base in female<br> not carinate. Antennae with scape about as long as ﬁrst ﬁve<br>funicular segments<br> funicle with segment I as long as 2 plus three fourths of 3, 2 as long<br>as3 plus half of 4, 3 slightly longer than 4, 4-7 moniliform and each successively broader,<br>7‘transverse<br> club ovate, about twice as long as broad and not quite as long as preceding<br>six funicular segments, Prothoraa‘ slightly broader than long (45 :4), broadest at middle,<br>strongly rounded on sides in basal two thirds but almost straightly expanded in basal half,<br>thence quite strongly constricted, constriction continued broadly across dorsum, base con-<br>cave on either side of middle, the postero-lateral angles projecting back against elytral<br>interval 6<br> puncturation coarse, deep, very dense, subconﬂuent, the interstices densely<br>clothed with erect or suberect squamae<br> dorsum irregular, gibbose at base, median line<br>deeply impressed across gibbose part in basal fourth, disk with a rounded, shallow tovea<br>on either side of median line at middle. Elytra. two thirds as broad as long, twice as long<br>as prothorax, almost parallel—sided from base to between middle and two thirds, thence<br>roundly narrowed to above apex of fourth ventrite and there distinctly constricted<br> apex<br>slightly but distinctly cmarginate<br> base strongly convex from scutellar emargination to<br>ﬁfth interval and there deeply emarginate, margin bare and appearing ﬂangcdike to fourth<br>interval, humeri rounded and prominent<br> dorsum depressed on area covered by the pale<br>macula<br> intervals three or four times as broad as striac, except at base where striae are<br>coarser, third, fourth, and ﬁfth elevated at base before pale macula, third and ﬁfth elevated<br>beyond macula to about apex of ﬁfth<br> derm almost everywhere concealed by dense Scaling.<br>Leg: densely sculptured and squamose<br> femora with a small but distinct ventral tooth near<br>outer edge at distal fourth<br> tibiae with uncus well developed, tooth at inner apical angle<br>distinct but small<br> hind tarsus with ﬁrst segment not quite as long as 2 plus 3, 2 slightly<br>longer than broad, 3 transverse, lobes rounded, 4 longer than 2 plus 3, Stenmm with<br>pectoral canal densely set with lanceolate squamae in prosternum, side wall of prosternal<br>part slightly sinuous near fore margin, but not deeply incised, cavity terminating at fore<br>margin of mesocoxae in male, slightly behind fore margin in female, receptacle with a<br>median costa, which is developed into a tooth on male, from termination of canal to<br>mesosternum<br> mesocoxae separated by slightly less than breadth of a mesocoxa, densely<br>punctate, coxao reaching elytra. Venier with ﬁrst ventrite roundly emarginate in middle<br>behind, deeply and broadly concave and coarsely punctured and with erect squamae in<br>male, ﬂat, less coarsely punetate and with ﬂat, prostrate, broadly lanceolate scales in<br>female<br> 2 as long as 2 plus 3 in male, longer in female<br> 2—5 all densely clothed with broad,<br>appresscd scales. Length, 5—7 min<br> breadth, 2-3 mm."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/curculionidae-of-guam/merged_images/Polytus mellerborgi.jpg,"47. Polytus mellerborgi (Boheman) (pl‘ 6, I ).<br>Sitoplzilus mellerborgi Boheman, in Schoenherr’s Gen. Spec Cure. 4(2):<br>976, 1837."
