bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Ischnura-delicata-0.jpg,dragonflies-of-guam-0.jpg,Ischnura delicata,1167,196,1299,901
Anax-piraticus-1.jpg,dragonflies-of-guam-0.jpg,Anax piraticus,1160,191,1698,1427
Anax-piraticus-2.jpg,dragonflies-of-guam-1.jpg,Anax piraticus,1225,222,748,256
Hemicordulia-3.jpg,dragonflies-of-guam-1.jpg,Hemicordulia,1206,240,901,823
Agrionaptera-insignis-insignis-4.jpg,dragonflies-of-guam-1.jpg,Agrionaptera insignis insignis,1221,244,1384,918
Diplacodes-bipunctata-5.jpg,dragonflies-of-guam-1.jpg,Diplacodes bipunctata,1218,247,1722,1394
Diplacodes-bipunctata-6.jpg,dragonflies-of-guam-2.jpg,Diplacodes bipunctata,1160,207,340,219
Pantela-flavescens-7.jpg,dragonflies-of-guam-2.jpg,Pantela flavescens,1170,207,702,345
Tholymis-tillarga-8.jpg,dragonflies-of-guam-2.jpg,Tholymis tillarga,1163,214,1054,707
Rhyothemis-phyllis-phyllis-9.jpg,dragonflies-of-guam-2.jpg,Rhyothemis phyllis phyllis,1160,214,1411,1064
Rhyothemis-variegata-variegata-10.jpg,dragonflies-of-guam-2.jpg,Rhyothemis variegata variegata,1163,217,1682,1421
Rhyothemis-variegata-variegata-11.jpg,dragonflies-of-guam-3.jpg,Rhyothemis variegata variegata,1204,253,343,268
Tramea-limbata-12.jpg,dragonflies-of-guam-3.jpg,Tramea limbata,1223,255,704,353
