bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Agrypnus-bifoveatus-0.jpg,elaterid-and-eucnemid-beetles-of-guam-0.jpg,Agrypnus bifoveatus,1151,188,782,667
Lacon-modestus-1.jpg,elaterid-and-eucnemid-beetles-of-guam-0.jpg,Lacon modestus,1151,186,998,787
Simodactylus-cinnamomeus-2.jpg,elaterid-and-eucnemid-beetles-of-guam-0.jpg,Simodactylus cinnamomeus,1153,183,1159,1010
Simodactylus-3.jpg,elaterid-and-eucnemid-beetles-of-guam-0.jpg,Simodactylus,1151,181,1473,1159
Melanoxanthus-melanocephalus-4.jpg,elaterid-and-eucnemid-beetles-of-guam-0.jpg,Melanoxanthus melanocephalus,1153,178,1668,1476
Melanoxanthus-palustris-5.jpg,elaterid-and-eucnemid-beetles-of-guam-1.jpg,Melanoxanthus palustris,1221,253,854,258
Melanoxanthus-guamensis-6.jpg,elaterid-and-eucnemid-beetles-of-guam-1.jpg,Melanoxanthus guamensis,1228,255,1754,1274
Melanoxanthus-palustris-7.jpg,elaterid-and-eucnemid-beetles-of-guam-2.jpg,Melanoxanthus palustris,1139,178,407,201
Melanoxanthus-unsingeri-8.jpg,elaterid-and-eucnemid-beetles-of-guam-2.jpg,Melanoxanthus unsingeri,1155,176,1288,635
Fornax-coxalis-9.jpg,elaterid-and-eucnemid-beetles-of-guam-2.jpg,Fornax coxalis,1160,178,1694,1468
