bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Cerapachys-silvestrii-0.jpg,formicidae-of-guam-0.jpg,Cerapachys silvestrii,1141,179,1679,1479
Ponera-punctatissima-1.jpg,formicidae-of-guam-1.jpg,Ponera punctatissima,1266,290,668,391
Odontomachus-haematoda-2.jpg,formicidae-of-guam-1.jpg,Odontomachus haematoda,1266,290,1240,677
Cremastogaster-biroi-3.jpg,formicidae-of-guam-1.jpg,Cremastogaster biroi,1268,280,1588,1302
Cerapachys-silvestrii-4.jpg,formicidae-of-guam-1.jpg,Cerapachys silvestrii,1263,290,377,254
Strumigenys-godeffroyi-5.jpg,formicidae-of-guam-1.jpg,Strumigenys godeffroyi,1268,280,1730,1600
Monomorium-pharaonis-6.jpg,formicidae-of-guam-2.jpg,Monomorium pharaonis,1141,176,647,347
Monomorium-minutum-7.jpg,formicidae-of-guam-2.jpg,Monomorium minutum,1143,176,1696,1432
Monomorium-floricola-8.jpg,formicidae-of-guam-2.jpg,Monomorium floricola,1143,176,1425,1027
Monomorium-destructor-9.jpg,formicidae-of-guam-2.jpg,Monomorium destructor,1141,176,1017,655
Strumigenys-godeffroyi-10.jpg,formicidae-of-guam-2.jpg,Strumigenys godeffroyi,1139,178,333,211
Monomorium-minutum-11.jpg,formicidae-of-guam-3.jpg,Monomorium minutum,1254,277,635,266
Pheidole-javana-12.jpg,formicidae-of-guam-3.jpg,Pheidole javana,1256,274,1742,1538
Solenopsis--13.jpg,formicidae-of-guam-3.jpg,Solenopsis ,1259,274,1531,1413
Solenopsis-geminata--14.jpg,formicidae-of-guam-3.jpg,Solenopsis geminata ,1259,272,1404,911
Cardiocondyla-wroughtoni-15.jpg,formicidae-of-guam-3.jpg,Cardiocondyla wroughtoni,1256,274,904,643
Pheidole-umboata-16.jpg,formicidae-of-guam-4.jpg,Pheidole umboata,1170,201,705,628
Pheidole--17.jpg,formicidae-of-guam-4.jpg,Pheidole ,1175,203,867,707
Pheidole--18.jpg,formicidae-of-guam-4.jpg,Pheidole ,1177,203,1002,874
Tetramorium-guineense-19.jpg,formicidae-of-guam-4.jpg,Tetramorium guineense,1172,201,1471,1007
Triglyphotrix-striatidens-20.jpg,formicidae-of-guam-4.jpg,Triglyphotrix striatidens,1172,206,1679,1478
Pheidole-umbonata-21.jpg,formicidae-of-guam-4.jpg,Pheidole umbonata,1167,199,616,215
Tapinoma-indicum-22.jpg,formicidae-of-guam-5.jpg,Tapinoma indicum,1249,261,1720,1535
Triglyphotrix-striatidens-23.jpg,formicidae-of-guam-5.jpg,Triglyphotrix striatidens,1240,264,544,252
Vollenhovia-oblonga-24.jpg,formicidae-of-guam-5.jpg,Vollenhovia oblonga,1240,261,1007,556
Tapinoma-melanocephalum-25.jpg,formicidae-of-guam-5.jpg,Tapinoma melanocephalum,1245,259,1525,1062
ANoplolepis-longipes-26.jpg,formicidae-of-guam-6.jpg,ANoplolepis longipes,1177,191,1379,753
Technomyrmex-albipes-27.jpg,formicidae-of-guam-6.jpg,Technomyrmex albipes,1163,196,712,297
Tapinoma-indicum-28.jpg,formicidae-of-guam-6.jpg,Tapinoma indicum,1160,191,287,202
Nylanderia-minutula-atomus-fullawayi-29.jpg,formicidae-of-guam-6.jpg,Nylanderia minutula atomus fullawayi,1187,199,1674,1389
Camponotus-irritans-chloroticus-30.jpg,formicidae-of-guam-7.jpg,Camponotus irritans chloroticus,1227,258,1722,1280
Nylanderia-bourbonica-31.jpg,formicidae-of-guam-7.jpg,Nylanderia bourbonica,1227,267,883,375
Nylanderia-minutula-atomus-fullawayi-32.jpg,formicidae-of-guam-7.jpg,Nylanderia minutula atomus fullawayi,1230,267,363,250
Paratrechina-longicornis-33.jpg,formicidae-of-guam-7.jpg,Paratrechina longicornis,1227,262,1275,887
Camponotus-irritans-chloroticus-34.jpg,formicidae-of-guam-8.jpg,Camponotus irritans chloroticus,1156,202,292,203
Camponotus-reticulatus-fullawayi-35.jpg,formicidae-of-guam-8.jpg,Camponotus reticulatus fullawayi,1158,199,682,300
