image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Monomorium pharaonis.jpg,"*6. Monomorium pharaom's (Linnaeus).<br>Forvrnica pharaonis Linnaeus, Syst. Nat. 10th ed. 1: 580, 1758.<br>Mmzomorium phamam's (Linnaeus) Bingham, Fauna Brit. India, Hy—<br>menopt. 2:202, 1903. Wheeler, B. P. Bishop Mus., Occi Papers 11<br>(11) : 24, 1935.<br>Piti, May 8, July 24—30, abundant in house, Swezey<br> Barrigada, July 22,<br>1 winged male, Swezey.<br>This little yellow cosmopolitan ant was not previously recorded from Guam."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Tapinoma indicum.jpg,"22a. Tapinoma indicum Forel, Bomb. Nat. Hist. Soc, Jour. 9:472, 1895<br><br>Bingham, Fauna Br. India, Hym. 2 : 304, 1903.<br>What appears to be this species was obtained in a few places. It is of a uni—<br>formly brownish color, with shorter antennae than the preceding species. It<br>occurs in India and New Britain. Our Guam specimens are from Santa Rosa<br>Peak, May 19, Swezey<br> Piti, July 30, on sugar—cane leaf, Swezey<br> Yigo,<br>November 13, Swezey‘"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Solenopsis geminata .jpg,"*12. Solenopsis geminata subspecies rufa (Jerdon).<br>Atta geminata, Fabricius, Syst. Piezatorum, 423, 1804.<br>Aim mfu Jerdon, Madras Lit. Sci, Jour. 17: 106, 1851.<br>Solenopsis geminata variety rufa. (Jerdon) Bingham, Fauna Brit. India,<br>Hymenopt. 2: 158, 1903. Wheeler, New York Ent. Soc., Jour. 20: 45,<br>1912<br> B. P. Bishop Mus, Occ. Papers “(11) :26, 1935.<br>Agana, at light, April 27, Bryan, May 4, Usinger<br> Barrigada, nest in pas—<br>sion fruit, June 14, Swezey<br> Piti, with mealybugs on cane, July 24, 27, Oct.<br>23, nest under bark, July 31, Swezey<br> Machanao, on spiny amaranth, Aug. 6,<br>Swezcy<br> Mata, very abundant with aleurodid (Ncomaskellia bergii) on cane,<br>Nov. 11, Swezey.<br>The “ﬁre ant” is widely distributed in the Pacific islands to Papua and<br>India. It was collected in Guam by Fullaway in 191]. We found it in various<br>situations."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Strumigenys godeffroyi.jpg,"This small ant is distributed widely in the Paciﬁc, from Tahiti to the Solo-<br>mon Islands. It is now recorded from Guam for the ﬁrst time. A single speci-<br>men was found in a decaying coconut husk beneath a coconut tree.<br>5. Strumigenys godeffroyi Mayr, Sitzungsb. ki Akad. Wissi Wien 53(1):<br>516, 1866. Wheeler, B R Bishop Mus., Occ. Papers 11(11):32, 1935.<br>Tarague Beach, May 17, Swezey."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Odontomachus haematoda.jpg,"3. Odontomachus haematoda (Linnaeus).<br>Formica haematada Linnaeus, Syst. Nat, 10th ed. 1 : 582, 1758.<br>Odomomachus haematodes (Linnaeus) Bingham, Fauna Brit. India,<br>Hymenopt. 2 : 47, 1903.<br>Odontomachus haematoda (Linnaeus) Wheeler, New York Ent. Soc.,<br>Jour. 20:45, 1912<br> B. P. Bishop Mus, Oec, Papers 11(11): 15, 1935.<br>Yona, Mar. 28, Bryan<br> Nov. 18, Swezey<br> Ritidian PL, April 16, Bryan<br><br>Upi Trail, May 5, Swezey<br> Machanao, June 2, Swezey<br> Piti, July, Oct. 11,<br>Swezey<br> Dededo, Aug. 11, Swezey<br> Tarague, May 17, Swezey<br> Barrigada,<br>Aug. 28, Swezey.<br>This tropicopolitan ant has a wide distribution, occurring in tropics of<br>America, Africa, Asia, and the various groups of islands in the Paciﬁc. Pre—<br>viously collected in Guam by Fullaway in 1911. It is a large black species with<br>long mandibles. One winged male was collected in house, but we collected<br>most of the others among leaves and trash on the ground in the forest areas.<br>Once a colony was found at the base of a rotten banana stem."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Pheidole umboata.jpg,"16. Pheidole umbonata, variety.<br>Yona, May 12, Swezey, a pale variety, collected in rotten sugar cane."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Cerapachys silvestrii.jpg,"*1. Cerapachys (Syscia) silvestrii Wheeler, Lab 2001. Agrari, Portici,<br>B011. 3:269, 1909<br> B. P. Bishop Mus., Occ. Papers 10(21) :9, 1934, and<br>11(11) : 8, 1935<br>Piti, in house, July. Swezey: in garden. Sept. 20. Swezey<br> Yigo, Oct. 18,<br>Swezey.<br>This ant was described from Hilo, Hawaii, and has also been collected in<br>Honolulu. It is now recorded outside of the Hawaiian islands for the ﬁrst<br>time. It was not previously collected in Guam."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Vollenhovia oblonga.jpg,"21. Vollenhovia oblonga subspecies pedesh'is (F. Smith).<br>M'yrmica oblonga Smith, Linn. Soc. London, 2001., Jour. Proc. 4, Suppl:<br>107, 1860.<br>Mymzica pedexmk Smith, Linn. Soc. London, 2001., Iour. Proc. 6: 47,<br>1861.<br>Vollenhow'a pedextris (Smith) Wheeler, B. P. Bishop Musi, Occ. Papers<br>: 11(11):22,1935.<br>Dededo, under bark or in rotten log, May 11, Usinger<br> Mt. Alifan, May 25,<br>Usinger<br> Barrigada, July 6, Swezey<br> Fadian, Sept. 18, Swezey.<br>This ant is known from New Britain, Solomons, Celebes, Papua, New<br>Caledonia and Santa Cruz. It was not previously recorded from Guam. It is a<br>large bléck ant which we found in only a few localities. Determination by<br>M. R. Smith."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Solenopsis .jpg,"13. Solenopsis species.<br>Yigo, Nov. 13, Swezey. Two workers of a black species, identiﬁcation by<br>M. R. Smith, U. S. National Museum."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/formicidae-of-guam/merged_images/Pheidole .jpg,"17. Pheidole, species near philemon.<br>Yigo, Oct 18, Swezey, twelve specimens.<br>A small black species with a specially large big—headed soldieri Determi—<br>nation by M. R Smith<br>18. Pheidole Species.<br>Piti, Aug‘ 4, Sept. 26, in garden, Swezey, about 30 specimens.<br>A light brown species Determination by M. R Smith"
