bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Chalaenius-flaviguttatus-guttatus-0.jpg,miscellaneous-families-of-guam-coleoptera-0.jpg,Chalaenius flaviguttatus guttatus,1248,271,1586,1166
Colpodes-1.jpg,miscellaneous-families-of-guam-coleoptera-0.jpg,Colpodes,1250,270,1714,1599
Colpodes-2.jpg,miscellaneous-families-of-guam-coleoptera-1.jpg,Colpodes,1138,178,327,209
Endynomena-pradieri-3.jpg,miscellaneous-families-of-guam-coleoptera-1.jpg,Endynomena pradieri,1138,178,517,341
Tachys-4.jpg,miscellaneous-families-of-guam-coleoptera-1.jpg,Tachys,1141,178,688,529
Lesticus-5.jpg,miscellaneous-families-of-guam-coleoptera-1.jpg,Lesticus,1143,176,834,697
Eretes-sticticus-6.jpg,miscellaneous-families-of-guam-coleoptera-1.jpg,Eretes sticticus,1148,180,1503,1284
Cybister-tripunctatus-hamatus-7.jpg,miscellaneous-families-of-guam-coleoptera-1.jpg,Cybister tripunctatus hamatus,1144,182,1267,886
Rhantus-pulverosus-8.jpg,miscellaneous-families-of-guam-coleoptera-1.jpg,Rhantus pulverosus,1151,180,1662,1511
Sticholotis-punctatus-9.jpg,miscellaneous-families-of-guam-coleoptera-10.jpg,Sticholotis punctatus,1249,291,1176,1027
Azya-luteipes-Mulsant-10.jpg,miscellaneous-families-of-guam-coleoptera-10.jpg,Azya luteipes Mulsant,1249,287,683,433
Rhantus-pulverosus-11.jpg,miscellaneous-families-of-guam-coleoptera-10.jpg,Rhantus pulverosus,1249,289,423,269
Rodolia-cardinalis-12.jpg,miscellaneous-families-of-guam-coleoptera-10.jpg,Rodolia cardinalis,1247,289,1017,695
Telsimia-nitida-13.jpg,miscellaneous-families-of-guam-coleoptera-10.jpg,Telsimia nitida,1251,287,1742,1179
Lindorus-lophanthae-14.jpg,miscellaneous-families-of-guam-coleoptera-11.jpg,Lindorus lophanthae,1143,164,1500,1363
Telsimia-nitida-15.jpg,miscellaneous-families-of-guam-coleoptera-11.jpg,Telsimia nitida,1143,174,482,213
Nephus-16.jpg,miscellaneous-families-of-guam-coleoptera-11.jpg,Nephus,1143,171,945,487
Pullus-17.jpg,miscellaneous-families-of-guam-coleoptera-11.jpg,Pullus,1143,171,1127,955
Stethorus-18.jpg,miscellaneous-families-of-guam-coleoptera-11.jpg,Stethorus,1146,169,1358,1137
Apsectus-19.jpg,miscellaneous-families-of-guam-coleoptera-11.jpg,Apsectus,1093,174,1692,1562
Xylothrips-religiosus-20.jpg,miscellaneous-families-of-guam-coleoptera-12.jpg,Xylothrips religiosus,1245,269,1626,1407
Dactylosternum-abdominale-21.jpg,miscellaneous-families-of-guam-coleoptera-12.jpg,Dactylosternum abdominale,1240,269,713,320
Enochrus-rubrocinctus-22.jpg,miscellaneous-families-of-guam-coleoptera-12.jpg,Enochrus rubrocinctus,1245,269,1043,722
Noteropagus-obscurus-23.jpg,miscellaneous-families-of-guam-coleoptera-12.jpg,Noteropagus obscurus,1247,271,1354,1050
Xylopsocus-capucinus-24.jpg,miscellaneous-families-of-guam-coleoptera-12.jpg,Xylopsocus capucinus,1245,269,1766,1638
Xylopsocus-capucinus-25.jpg,miscellaneous-families-of-guam-coleoptera-13.jpg,Xylopsocus capucinus,1136,184,442,216
Dinoderus-minutus-26.jpg,miscellaneous-families-of-guam-coleoptera-13.jpg,Dinoderus minutus,1143,172,716,454
Lasioderma-serricorne-27.jpg,miscellaneous-families-of-guam-coleoptera-13.jpg,Lasioderma serricorne,1143,177,1007,774
Necrobia-rufipes-28.jpg,miscellaneous-families-of-guam-coleoptera-13.jpg,Necrobia rufipes,1145,172,1370,1069
Tillus-notatus-29.jpg,miscellaneous-families-of-guam-coleoptera-13.jpg,Tillus notatus,1143,177,1697,1379
Buprestis-aurulenta-30.jpg,miscellaneous-families-of-guam-coleoptera-14.jpg,Buprestis aurulenta,1263,262,1742,1539
