image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Colobicus parilis.jpg,"1. Colobicus patilis Pascoe, Jour. Ent. 1:202, 1860. Scott, Fauna Hawaii.<br>3: 430, 1908.<br>Machanao, June 4 under bark Swezey , Barrigada, July 6 ex I ntsm bijuga,<br>Swezey<br> Yigo, Oct. 18, ex (lead branch of small— leaved Ficus, Swezey<br>Widely distributed in East Indies, Moluccas, Borneo, Philippines, Assam,<br>Hongkong, Hawaii, North Australia."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Cyphogastra auripennis.jpg,"1. Cyphogastra auripenm's Saunders, Ent. Soc. London, Trans, 432, pl. 22,<br>ﬁg 2, 1867. Obenberger, Coleopt. Catalog, (84) z 116, 1926.<br>Mt. Lamlam, altitude 1,334 ft, April 21, dead on summit, Bryan<br> Sumay,<br>May 9, Bryan<br> Piti, June 23, on Antigonan [epic/7m vine on trellis, Swezey.<br>Three specimens<br>This large green species was described from Guam. In the Junk Catalogue<br>it is ascribed only to the Carolines."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Figulus integricollis.jpg,"1. Figulus integricollis Thomson, Ent. Soc. France, Ann. 1V, 2 : 431, 1862.<br>Mt. Tenjo, May 3, in Areca palm, Swezey<br> Agana, May 4, in Pandanus,<br>Swezey<br> Dededo, May 11, in Pandanm, Usinger<br> Yona, May 12, in sugar<br>cane, Swezey ,- Mt. Alifan, May 26, Usinger <br> hriachanao, June 2, miscellaneous<br>sweeping, June 30, under bark, Swezey <br> Barrigada, June 12, rotten log, July 6,<br>in Intsia bijuga, July 22, in breadfruit, Swezey<br> Piti, June 18, in breadfruit,<br>Oct. 27, in bamboo stubs, Swezey<br> Fadian, Sept. 18, in rotten log, Swezey<br><br>Yigo, Oct. 21, in petiole of dead coconut leaf, Swezey. Fullaway, 1911.<br>Described from the Marianas Islands and not recorded elsewhere. iWe<br>found it quite common, the larvae feeding in rotten logs."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Dibelonetes formosae.jpg,"7. Dibelonetes formosae Bemhauer, Arch. Naturg. Abt. A, 882228, 1922.<br>Scheerpeltz, Coleopt, Catalog. (129) : 1229, 1933.<br>Piti, July 3, at light, Swezcy, one specimen. Described from Formosa"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Cybister tripunctatus hamatus.jpg,"1. Cyhister tripunctatus hamatus (Montreuzier).<br>Dytiscus trimmctatus Olivier, Entomologie 3(40) : 14, pl. 3, ﬁg. 24, 1795.<br>Dytiscus tripmzctatus var. hamatus Moutrouzier, Soc. Agri Lyon, Ann. 7:<br>9, 1857.<br>Cybister fripimctatus var. immatus (B'Iontrouzier) Zimmermann, Coleopt.<br>Catalog. (71) 1266, 1920.<br>Upi Trail, May S, in concrete reservoir, Usinger, one specimen<br> Inarajan,<br>May 14, in rice ﬁeld, Usinger, one specimen<br> Piti, Aug. 9, in pail of rain water,<br>Swezey, one specimen<br> Fullaway, 1911. (Determined by J. Balfour-Browne.<br>One specimen retained at British Museum.)<br>The variety hamatus was described from W'oodlark Island."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Prosoplus marianarum.jpg,"6. Prosoplus marianarum Aurivillius, Dcutsche Ent. Zeitschr., 222, 1908<br><br>_ Coleopt. Catalog. (73) I 263, 1922."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Tachys.jpg,"4. Tachys species.<br>One specimen of this tiny carabid was collected at Machanao, May 17,<br>Usinger. It was determined as Tacky: sp. by E‘ B. Britton, but was lost oi?<br>the pin point on the return trip from the British Museum."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Xyloborus nudus.jpg,"11. Xyloborus nudus (Gehien) 9<br>Cherastus nudus Gebien, Sarawak Mus. Joulx 2: 14, 1914‘<br>Xylaborus Hudm‘ (taste Barber).<br>’l‘alofofo plateau, June 17, in rotten Areca palm trunk, Usinger, one speci—<br>men Described from Borneo. Determined by H. S. Barber, U. S, National<br>Museum."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Derosphaerus rotundicollis.jpg,"10. Derosphaerus rotundicollis (Castelnau).<br>Upis ratmzdz'collis Castelnau, Hist. Nat. 2 : 213, 1840.<br>De-rwphaeru: ratmzdz'callis (Castelnau) Gebien, Coleopt. Catalog, (28):<br>449, 1911<br> Nova Guinea 13 (3) : 305, 1920.<br>Ritidian Pt, April 15, on H ernMLdia blossoms, Bryan<br> Mt. Alifan, May 26,<br>in rotten log, Swezey<br> Piti, June 12, at light, Swezey<br> Machanao, June 30,<br>under bark of Elaeomrpus jaga 10g, Swezey<br> Lihugon Farm, Nov. 10, under<br>bark of dead orange tree, Swezey, Seven specimens, found at widely distrib—<br>uted places."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/miscellaneous-families-of-guam-coleoptera/merged_images/Trochoideus desjardinsii.jpg,"Trochoideus desjardinsii Guérin, Rev. 2001., 22, 1838. Coquerel, Soc. Ent.<br>France, Ann. III, 7 : 256, pl. 6, ﬁg. 2, 1859.<br>Youa, April 29, among dead leaves, Bryan<br> Mt. Tenjo, May 3, in (lead<br>rachis of Angioplnris warm, Swezey<br> Dededo, May 11, in rotten 10g, Swezey<br><br>Tarague, May 17, under coconut husk on ground, Swezey<br>l Mt Alifan, May<br>26, in log, Usinger<br> Agat, May 31 under bark Usingel<br> Yigo, Oct. 21, in<br>lotten banana stem, Nov 13, among dead papaya leaves, Swezey<br> Fullaway,<br>1911.<br>This peculiar beetle occurs in South Asia, Mauritius, Madagascar, Reunion,<br>New Guinea, Philippines. We found it common in Guam and widely dis—<br>tributed."
