bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Psocus-kauaiensis-0.jpg,neuropteroid-insects-from-guam-0.jpg,Psocus kauaiensis,1134,173,1042,890
Myopsocus-bakori-1.jpg,neuropteroid-insects-from-guam-0.jpg,Myopsocus bakori,1136,176,1238,1049
Hemipsocus-chloroticus-stenostigmus-2.jpg,neuropteroid-insects-from-guam-0.jpg,Hemipsocus chloroticus stenostigmus,1151,171,1694,1250
Caecilius-arotellus-3.jpg,neuropteroid-insects-from-guam-1.jpg,Caecilius arotellus,1250,250,1723,259
Caecilius-arotellus-4.jpg,neuropteroid-insects-from-guam-2.jpg,Caecilius arotellus,1138,170,524,201
Mepleres-ornata-5.jpg,neuropteroid-insects-from-guam-2.jpg,Mepleres ornata,1148,172,1086,521
Pseudocaecilius-marshalli-6.jpg,neuropteroid-insects-from-guam-2.jpg,Pseudocaecilius marshalli,1150,172,1341,1096
Peripsocus-suffitus-7.jpg,neuropteroid-insects-from-guam-2.jpg,Peripsocus suffitus,1150,177,1552,1338
Ectopsocus-hawaiiensis-8.jpg,neuropteroid-insects-from-guam-2.jpg,Ectopsocus hawaiiensis,1141,165,1661,1564
Micropsocus-waterstradti-9.jpg,neuropteroid-insects-from-guam-3.jpg,Micropsocus waterstradti,1238,270,489,238
Psyllipsocus-ramburii-10.jpg,neuropteroid-insects-from-guam-3.jpg,Psyllipsocus ramburii,1235,272,712,502
Psyllonreura-simbangana-11.jpg,neuropteroid-insects-from-guam-3.jpg,Psyllonreura simbangana,1238,267,1308,721
Echmepteryx-pretiosa-12.jpg,neuropteroid-insects-from-guam-3.jpg,Echmepteryx pretiosa,1235,267,1704,1308
Echmepteryx-pretiosa-13.jpg,neuropteroid-insects-from-guam-4.jpg,Echmepteryx pretiosa,1129,164,511,201
Chrysopa-oceanica-14.jpg,neuropteroid-insects-from-guam-4.jpg,Chrysopa oceanica,1127,174,818,626
Chrysopa-tagalica-15.jpg,neuropteroid-insects-from-guam-4.jpg,Chrysopa tagalica,1112,171,967,818
Chrysopa-satilota-16.jpg,neuropteroid-insects-from-guam-4.jpg,Chrysopa satilota,870,171,1099,969
Eumicromus-pusilius-17.jpg,neuropteroid-insects-from-guam-4.jpg,Eumicromus pusilius,1127,154,1370,1161
Distoleon-perjurus-18.jpg,neuropteroid-insects-from-guam-4.jpg,Distoleon perjurus,1141,162,1689,1437
Distoleon-perjurus-19.jpg,neuropteroid-insects-from-guam-5.jpg,Distoleon perjurus,1279,276,882,254
Myrmeleon-celebensis-20.jpg,neuropteroid-insects-from-guam-5.jpg,Myrmeleon celebensis,1287,281,1063,882
Oecetinella-punctata-21.jpg,neuropteroid-insects-from-guam-5.jpg,Oecetinella punctata,1265,286,1718,1172
