image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Pseudocaecilius marshalli.jpg,"6. Pseudocaecilius marshalli Kamy, Jour. Ent. Res. 16 : 288, 1926.<br>Piti, July 5, Oct. 27<br> Sumay, Oct. 17<br> Machanao, June 5<br> Libugon Farm.<br>July 10. a<br>One specimen has the radial sector and medius united at only one point,<br>and in some others there is only a very short space of union<br> in one it is united<br>for a greater distance than ﬁgured by Karny. It was described from the Fiji<br>islands"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Chrysopa satilota.jpg,"3. Chrysopa satilota Banks, Psyche 17: 102, 1910.<br>Merizo, June 11<br> Piti, Sept. 15, April 30.<br>Known from Samoa, Australia and elsewhere,"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Psocus kauaiensis.jpg,"1. Psocus kauaieusis Perkins, Fauna Haw. 2(2) :79, 1899‘<br>Mt. Tcnjo, May 5<br> Dededo, May 11<br> Machanao, June 5<br> Sumay Road,<br>June 21, on H critiem littoralis<br> 8 specimens.<br>This is a common species in the Hawaiian islands,"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Chrysopa oceanica.jpg,"1. Chrysopa oceanica Walker, List Neur. Ins. C011. British Mus. (2) : 238,<br>1853.<br>Yigo, Piti, Orote Peninsula, Uniatac, Barrigada, Sumay, March to No—<br>vember, many specimens.<br>T his species is known from various islands of the Paciﬁc,"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Psyllonreura simbangana.jpg,"11. Psylloneura simbangana Enderlein, Hist—Nat. Mus. Nat. Hung, Ann.<br>,~ 1:316, ﬁgs, 1903.<br>Piti, Sept. 20, 2 specimens.<br>Enderlein’s type was perhaps teneral and thus reddish<br> these are wholly<br>dark, and wings evenly fumose<br> they agree in venation with his ﬁgure 580.<br>It was described from southern Dutch New Guinea.<br>12. Sva dahliana Enderlein, Zool. Jahrb. Syst. 20: 110, 1904.<br>Machanao, June 5<br> Agana, May 25<br> Tarague, May 17‘ One specimen<br>each.<br>This species was described from an alcoholic specimen from Ralum, Bis—<br>marck Archipelago. In these dried specimens, the scales are more numerous:<br>those on the wing, seen from behind, have a decidedly purplish hue, and those<br>on the thorax above, seen from in front, are also purplish. The body and wings<br>are very dark brown, in one the head is almost black<br> the antennae are pale,<br>except the brown basal part<br> the hair around outer margin of forewing is<br>snow. white, before it, the hair on Costa is nearly black."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Myopsocus bakori.jpg,"2. Myopsocus bakeri Banks, Phil‘ Iour. Sci. 11, D: 199, p1‘ 1, ﬁg. 3, 1916.<br>Tarague, May 17, 5 specimens.<br>All are darker than the type from Luzon, but the marks are in the same<br>place, and the venation and hind border of the wing the same as the type,<br>which came from the Philippinest"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Ectopsocus hawaiiensis.jpg,"8. Ectopsocus hawaiiensis Enderleiu, ZooI. Anzeig. 41 : 356, 1913.<br>Machauao, June 5, 2 specimens."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Psyllipsocus ramburii.jpg,"10. Psyllipsocus ramburii Selys-Longchamps, Ent. M0. Mag. 9: 146, 1872.<br>Piti, Nov 2, 8, two specimens.<br>Widely spread, often in houses or greenhouses. Both specimens have<br>the venation with the ﬁve—sided cell as ﬁgured by Enderlein (Mus. Nat.<br>Hung, Ann. 1 : pl. 11, ﬁg. 596) but the forks of the radial sector and medius<br>are not connected by a cross vein."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Echmepteryx pretiosa.jpg,"13. Eehmepteryx pretiosa, new species (ﬁg. 1, e, 9).<br>Face yellowish to gray, hair in middle and below white, darker each side by eyes<br> eyes<br>with short, erect hair<br> vertex pale, with white hair, sometimes a dark spot each side<br><br>thorax with mostly pale yellowish hair, a tuft of dark each side in front<br> antennae gray,<br>with basal joint brown, covered with ﬁne, stiff hair<br> legs pale, tibiae with two dark bands<br><br>wings with mostly yellowish to whitish scales, but with spots and transverse bands of dark<br>brown to black<br> two brown spots near base<br> an almost black band near middle, widened in<br>middle behind, more or less connected to lateral dark spots beyond, and thence to a larger<br>median spot<br> the extreme wing tip dark<br> anterior fringe mostly yellowish, but from middle<br>out with patches of dark<br> hind fringe white toward base, then a large black patch beyond<br>which is mostly whitish to grayi<br>Fringe on outer side fully one half width of wing The scales as usual in genus are<br>partly broad and short, with erect scales longer and slender, pointed<br> ﬂiese scales in the<br>proper light have a golden shimmer. Hind wings whitish hyaline, with gray fringe toward<br>tip in front, and a very long white fringe on outer side, which toward base is fully two<br>thirds of the wing width.<br>Both wings are falcate at tip, the fore pair more strongly so<br> hindwingr with the front<br>margin toward base plainly concave<br> venation as ﬁgured. Length oi iorewing, 1.4 to<br>1.6 mm.<br>Piti, Agat, Machanao, Upi Trail, Mti Tenjo, Mt. Chachao, and Mt. Alifan,<br>mostly in May, a few in late April and early June.<br>Type and paratypes in Hawaiian Sugar Planters’ Association collection,<br>also paratypes in Museum of Comparative Zoology (no, 23830)"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/neuropteroid-insects-from-guam/merged_images/Caecilius arotellus.jpg,"4. Caecilius arotellus, new species (ﬁg. 1, a, 5).<br>Body pale yellowish, no mark on clypeus<br> vertex sometimes a little darker, and some-<br>times darker on sides of thoracic notum<br> legs and antennae pale. Wings hyaline, some-<br>times very faintly yellowish, often yellowish on ptcrostigma, not at all fumose. The wings<br>are moderately slender<br> in the iorewings the stigma is long, swollen behind, and tapering to<br>tip<br> the union of radial sector and medius is quite short, but little more than one half the<br>basal section of radial sector<br> the fork of radial sector is very slender<br> much longer than<br>its pedicel <br> the branches of the medius nearly straight<br> the areola postica, nearly twice as<br>long as high, highest toward base, and reaching fully one half Way on hind margin to the<br>branch of medius <br> the principal veins have one row of hairs, the stigma with many hairs.<br>In hindwing, the mcdius curves up less divergent from the radial sector than usual<br> union<br>of radial sector and medius is about twice as long as the basal section of radial sector.<br>Length of forewing, 2 to 2.2 mm.<br>e»,<br> <br> <br>FIGURE l.—a, C ucrilius aratellus, forcwing', b, Gicetimlla pimctaia, genitalia from<br>side, and lower appendage from below<br> c, Carcih‘m m’olallus, part of hind wing<br> d, H smit-<br>Jasm- chlorotirus variety simomgmus, stigma<br> e, Echmepteryx preliom, forewing<br> f, (Ere-<br>tinella pzmcmta, {crowing <br> g, Ecli-mcpteryx pretiosu, hindwing <br> 11, M eplm-e: arnaius,<br>forewing.<br>Piti, Machanao, Mt. Tenjo, Dededo, Fonte Valley, Sumay, Merizo, Upi<br>Trail, Santa Rosa Peak, May, July, August, October, November, many speci—<br>mens. Type and paratypes in collection of Hawaiian Sugar Planters’ Associa—<br>tion, paratypes also in Museum of Comparative Zoology (no. 23828).<br>The venation is similar to that of C . luridus Entlerlein of New Guinea, but<br>the wing is more slender, the areola postica larger, and the wing not fumose.<br>The apical half of forewing is very much like C . angmms Enderlein of Aus-<br>tralia, but the wing is not so long, and the cubitus runs nearer to the anal than<br>to the medius <br> from C. castella Banks of the Philippines it differs in having<br>the fork of the radial sector much more slender, and in the larger areola<br>postica<br> these differences hold in a considerable series of each species."
