bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Lispinus-impressicollis-guamensis-0.jpg,staphylinidae-of-guam-0.jpg,Lispinus impressicollis guamensis,1143,182,1266,711
Lispinus-impressicollis-iridescens-1.jpg,staphylinidae-of-guam-0.jpg,Lispinus impressicollis iridescens,1150,182,1665,1271
Lispinus-impressicollis-iridescens-2.jpg,staphylinidae-of-guam-1.jpg,Lispinus impressicollis iridescens,1233,266,355,229
Trogophloeus-usingeri-3.jpg,staphylinidae-of-guam-1.jpg,Trogophloeus usingeri,1235,264,826,357
Holotrochus-swezeyi-4.jpg,staphylinidae-of-guam-1.jpg,Holotrochus swezeyi,1235,264,1294,826
Palaminus-swezeyi-5.jpg,staphylinidae-of-guam-1.jpg,Palaminus swezeyi,1240,264,1696,1292
Palaminus-swezeyi-6.jpg,staphylinidae-of-guam-2.jpg,Palaminus swezeyi,1136,181,446,195
Palaminus-minutissimus-7.jpg,staphylinidae-of-guam-2.jpg,Palaminus minutissimus,1139,183,876,446
Scopaeus-opacicollis-8.jpg,staphylinidae-of-guam-2.jpg,Scopaeus opacicollis,1141,185,1450,878
Oligota-apicata-obscuricornis-9.jpg,staphylinidae-of-guam-2.jpg,Oligota apicata obscuricornis,1139,183,1650,1453
Atheta-usingeri-10.jpg,staphylinidae-of-guam-3.jpg,Atheta usingeri,1230,264,985,248
