bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Heliothrips-haemorrhoidalis-0.jpg,thrips-of-guam-0.jpg,Heliothrips haemorrhoidalis,1141,191,1199,978
Selenothrips-rubrocinctus-1.jpg,thrips-of-guam-0.jpg,Selenothrips rubrocinctus,1150,186,1488,1204
Dinurothrips-guamensis-2.jpg,thrips-of-guam-0.jpg,Dinurothrips guamensis,1148,186,1675,1555
Dinurothrips-guamensis-3.jpg,thrips-of-guam-1.jpg,Dinurothrips guamensis,1225,278,1142,250
Scirtothrips-clarus-4.jpg,thrips-of-guam-1.jpg,Scirtothrips clarus,1233,278,1713,1279
Dendrothripoides-ipomese-5.jpg,thrips-of-guam-2.jpg,Dendrothripoides ipomese,1150,186,389,254
Taeniothrips-setipennis-6.jpg,thrips-of-guam-2.jpg,Taeniothrips setipennis,1143,191,661,463
Taeniothrips-setipennis-7.jpg,thrips-of-guam-2.jpg,Taeniothrips setipennis,1148,191,896,665
Thrips-leucaenae-8.jpg,thrips-of-guam-2.jpg,Thrips leucaenae,1148,189,1653,908
Thrips-leucaenae-9.jpg,thrips-of-guam-3.jpg,Thrips leucaenae,1289,332,792,261
Bolacidothrips-orizae-10.jpg,thrips-of-guam-3.jpg,Bolacidothrips orizae,1291,325,1330,807
Gynaikothrips-uzeli-11.jpg,thrips-of-guam-3.jpg,Gynaikothrips uzeli,1289,322,1723,1587
Gynaikothrips-uzeli-12.jpg,thrips-of-guam-4.jpg,Gynaikothrips uzeli,1114,152,380,223
Macrophthalmothrips-usingeri-13.jpg,thrips-of-guam-4.jpg,Macrophthalmothrips usingeri,1136,164,1354,387
Karnyothrips-flavipes-14.jpg,thrips-of-guam-4.jpg,Karnyothrips flavipes,1131,169,1681,1448
Karnyothrips-melaleuca-15.jpg,thrips-of-guam-5.jpg,Karnyothrips melaleuca,1283,325,436,261
Haplothrips-phyllanthi-16.jpg,thrips-of-guam-5.jpg,Haplothrips phyllanthi,1307,325,1303,441
Haplothrips-gowdeyi-17.jpg,thrips-of-guam-5.jpg,Haplothrips gowdeyi,1302,325,1514,1313
Aleurodothrips-fasciapennis-18.jpg,thrips-of-guam-5.jpg,Aleurodothrips fasciapennis,1290,332,1730,1514
Mesothrips-guamensis-19.jpg,thrips-of-guam-6.jpg,Mesothrips guamensis,1165,172,1007,221
Mesothrips-swezeyi-20.jpg,thrips-of-guam-6.jpg,Mesothrips swezeyi,1162,174,1692,1014
Mesothrips-guamensis-21.jpg,thrips-of-guam-7.jpg,Mesothrips guamensis,1299,341,648,271
Belothrips-artocarpi-22.jpg,thrips-of-guam-7.jpg,Belothrips artocarpi,1302,353,1728,783
Belothrips-articarpi-23.jpg,thrips-of-guam-8.jpg,Belothrips articarpi,1144,195,311,226
Machatothrips-artocarpi-24.jpg,thrips-of-guam-8.jpg,Machatothrips artocarpi,1151,195,538,321
Rhaebothrips-lativentris-25.jpg,thrips-of-guam-8.jpg,Rhaebothrips lativentris,1156,193,707,550
Rhaebothrips-fuscus-26.jpg,thrips-of-guam-8.jpg,Rhaebothrips fuscus,1158,195,1677,721
Rhaebothrips-fuscus-27.jpg,thrips-of-guam-9.jpg,Rhaebothrips fuscus,1278,313,471,252
