image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Mesothrips swezeyi.jpg,"18. Mesothrips guamensis, new species.<br>Male holotype: blackish brown, only joints of legs and fore tarsi lighter<br> wings<br>brownish.<br>Head 1.8 times longer than wide, sub—rectangular in shape, cheeks straight, slightly<br>narrowed posteriorly and with a basal thickening<br> eyes broadly rounded, not protruding<br><br>cheeks with several scattered small spines <br> postoculars longer than eyes, pointed. Mouth<br>cone reaching two thirds across prosterntim, narrowed near the middle and from there<br>more or less pointed to tip. Antennal segments 3 to 5 broadly elevate, 6 and 7 subovate<br>but narrowed at base, 8 broadly spindle shaped. Segment 3 with two sense cones, 4 with<br>ﬁve sense cones. Anterior margin of prothorax deeply concave, with a median thickening<br>extending from lower line 01 crescent to a strong transverse line in front of posterior<br>margin. forming an inverted T. All normal spines present, the outer pair at posterior<br>angles longest, inner pair somewhat shorter, midlaterals still shorter and those on anterior<br>margin and angles much smaller. Fore legs greatly enlarged, each fore tarsus armed with<br>a broad'seaterl tooth. Wings long, slightly narrowed in the middle, each forewing with<br>34 double fringe hairs. Spincs 0n posterior angles of abdominal segments 5, 6, 7 and 9<br>very long. Tube approximately 0.8 as long as head and 3.5 times longer than width at base.<br>Total body length 3.5 mm<br> head length 0.47 mm, width across eyes 0.264 mm<br> near<br>posterior margin 0.22 mm. Prothorax length measured lrom a transverse linc connect-<br>ing anterior angles 0.308 mm, and 0.235 mm. when measured from the lower middle point<br>of the anterior margin crescent<br> tube length 0367 mm, width at base 0.102 mm. Antenna]<br>segments length (width) : I, 50 (50) <br> II, 76 (40) <br> III, 113 (46)<br> IV, 116 (50)<br> V, 106<br>(43)<br> VI, 66 microns. Segments 7 and 8 are not in position to be measured accurately.<br>Length 01 spines: postoculars 150<br> those on anterior margin and angles snbequal, 66<br>"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Karnyothrips flavipes.jpg,"12. Karnyothrips ﬂavipes (Jones). '<br>Anthothm'ps flaupes Jones, U S Dept Agric.Bu1 Ent. Tech. Ser. 23(1):<br>18,pl.5, 1912.<br>Karnyothrips flavipex (Jones) Hood, Pan-Paciﬁc Eut. 3(4): 176, 1927.<br>Piti, Aug. 16, on unidentiﬁed tree, in company with C cropluxtm floridensix,<br>four females, Swezey (5481)."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Dinurothrips guamensis.jpg,"3. Dinurothrips guamensis, new species.<br>Female holotype: color golden brown darkened with black at sides of head and thorax<br><br>antennal segments 1 and 3 to 5 clear yellow, 2 dark golden brown, 6 to 8 brown with<br>extreme base of 6 yellowishi Fore legs, hind tibiae and all tarsi light golden yellow, with<br>sides of femora and tibiae more or less shaded with blackish brown<br> middle iemora and<br>tibiae dark brown, yellowish at tips. Wings, especially the prominent Veins, brown at base<br>and with brown bands in third and ﬁfth sixths, area between veins mostly clear<br> spines<br>dark brown except distal one on fore vein, which is clear.<br>Head clearly wider than long, constricted abruptly behind eyes<br> cheeks arched and<br>narrowed rather evenly toward base<br> clearly though indistinctly reticulate near posterior<br>margin. Eyes prominent, protruding, especially in front for about one third their length<br><br>oeelli approximate, anterior ocellus directed forward. Antennal segment 2 widest, 3 and 4<br>more or less spindle shaped, 5 roundly conical, 6 and 7 closely joined, 8 long and slender<br><br>simple sense cones on 3 and 4.<br>Pronotum explanate at sides, reticulate<br> pterothorax broadly rounded at sides and<br>narrowed posteriorly<br> mesonotum irregularly reticulate cross striate, with a distinct longi‘<br>tudinal suture<br> metanotum with a median triangular area which is striate longitudinally.<br>Forewings strong, veins fused with marginal veins<br> with eleven spines on outer anterior<br>margin of fused vein and with one near base and two near tip on inner side<br> with ﬁve<br>irregularly placed spines on fused posterior vein, Each hind wing with a distinct median<br>line extending to tip of wing. Abdominal segments reticulated at sides, clear in middle<br>except for two or three transverse lines near anterior margins of segments 3 to 8. Spines<br>at tip of abdomen short and stout, otherwise there are no conspicuous spines on abdomen<br>Total body length l. 12 mm., head length 0 11 mm., width at eyes 0 166 mm., across<br>cheeks 0.160 mm' , prothorax, length 0102 mm., width including explanate extensions<br>0.193 mm. Length of spines on ninth abdominal segment 40 microns at tip of tenth<br>segment 26 microns, which is approximately one fourth the length of the segment.<br>Antennal segments, length (width) : I, 33 (26)<br> II, 33 (26)<br> III, 40 (18)<br> IV, 40 (20)<br><br>V, 36 (22)<br> VI, 30 (20)<br> V11, 10 (10)<br> VIII, 26 (5)<br> total 216 microns.<br>Agana, June 26, on Cesirum ﬂallid'lt-llt, female holotype and eight female<br>paratypes O. H Swezey (5464).<br>D guamensi: may be separated from D. frontalis Bagnall by its blown<br>middle legs, brown hind femota, also by the absence of black rings 01 e“3re<br>spots” on tergites three to seven. In D. frontal‘is, the legs are yellow with<br>lemma slightly deeper in coloration especially the intermediate pair."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Dendrothripoides ipomese.jpg,"5‘ Dendrothripoides ipomeae Bagnall, Ann. Mag. Nat. Hist. IX, 12:624,<br>1923.<br>Orote PL, May 24, on morningglory leaves, three females, Swezey (5469)."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Aleurodothrips fasciapennis.jpg,"16. Aleurodothrips fasciapennis (Franklin).<br>Cryptathrips fasciapmmis Franklin, U. S. Nat, Mus., Proc. 33 : 727, pl. 64,<br>ﬁgs. 12, 13, 1908.<br>Alemadathrips fascia/207mb (Franklin), Ent. News 20: 228, 1909.<br>Yona, May 1, on young coffee berries, 1 male, Usinger (5490)."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Rhaebothrips fuscus.jpg,"22. Rhaebothrips fuscus, new species.<br>Female holotype: color blackish brown with joints of legs and tarsi lighter, fore<br>tibiae lighter especially at ends and tore tarsi almost yellow<br> antennal segments 1 and 6<br>to 8 blackish brown, 2 lighter in outer half, 3 and basal two thirds of 4 clear yellow, distal<br>part of 4 clouded with brown, 5 yellowish in basal half, blackish brown in distal half.<br>W'ings washed with brown, lighter in basal third<br> median streak darkened in middle third<br><br>prominent spines brownish yellow. Head 1.6 longer than wide, cheeks straight, gently<br>narrowed in basal fourth and with a thickened ring at posterior margin<br> postocular spines<br>about one fourth longer than eyes<br> mouth cone broadly rounded, reaching one half across<br>prostel‘num <br> antenna 1.8 longer than head, segment 3 longest, distinctly longer than 4 and<br>with two sense cones. Prothorax with concave lore margin, all normal spines present,<br>those at posterior angles longest, The median thickening extends from anterior margin<br>to near posterior margin. being almost complete. Fore legs only slightly enlarged, fore<br>femora normal, not bent as in the male<br> fore tarsus with a claw—shaped tooth near and<br>011 the inside much as in I‘fomyutlw-ipr. Median streak of forewings conspicuous only in<br>middle third. Sixteen double fringe hairs on forewings. Tube 08 as long as head, three<br>times longer than width at base.<br>Total body length (abdomen distended) 3.04 mm<br> head length 0.352 nmL, width<br>behind eyes 0.22 nun<br> prothorax length 0.176 mm., width without coxae 0.323 mm<br> tube<br>length 0.308 mm., width at base 0.102 mm<br> length of spines, postoculars 0.116 microns<br><br>those on anterior margin and angles 40 microns, midlaterals 73 microns, outer on posterior<br>angles 88 microns, on ninth abdominal segment 260 microns, at tip of tube 176 microns.<br>Antennal segments length (width): II, 66 (36)<br> III, 123 (34)<br> IV, 113 (33)<br> V, 93<br>(33) <br> VI, 80 (30) <br> VII, 56 (26) <br> VIII, 26, total, 632 microns.<br>Male allotype, similar in size and color to female but darker, almost black. \Vings<br>wanting. Fore legs greatly enlarged, fore femora with a strongly curved, almost angular<br>inner margin and outer margin broadly rounded.<br>Piti, May 1, on grass, holotype female (macropterous), allotype male<br>(apterous), two females, one male (5487) <br> Sasa, type locality, June 26, from<br>unknown host plant, one female, two males (5493) <br> all collected by Usinger.<br>Also listed as type material: Fiji Islands, Taviuni, two males (3406), Viti<br>Levn, two males (3414) j. Wayaya, one female, two males (3476)<br> Dal'l‘th)‘<br>Island, Torres Straits, one male, one female (3416) <br> all collected by A. M. Lea.<br>The species fuscm is larger than lativmzlri: Karny but smaller than major<br>Bagnall. In lativentris, the postocular spines are shorter than the eyes, the<br>mouth cone reaches nearly to the posterior margin of the prosternum and the<br>third and fourth segments of antenna are about equal in length, being 100<br>microns long. R. major Bagnall, a larger species, has darker wings and twenty<br>eight double fringe hairs on forewings."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Heliothrips haemorrhoidalis.jpg,"1. Heliothrips haemorrhoidalis (Bouc‘né).<br>'I‘Iwiju lzaemorrhoidalix Bouché, Schidl‘ Garten—Insecten, 4-2, 1833.<br>Hgliothrij): lzaemorrlwidalis (Bouché) Burmeister, Handb‘ Ent‘ 2:412,<br>1838.<br>Inarajan, June 25, on leaves of Barring/250nm racemasa, one female, Swezey<br>(5475)."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Scirtothrips clarus.jpg,"4. Scirtothrips clams, new species.<br>Female liolotype: clear yellow, eyes black, crescents oi ocelli orange.<br>Species with all the characters of the genus, but speciﬁcally set apart by its uniformly<br>clear color, including the wings The mouth cone is short but pointed, and reaches approxi—<br>mately half across prosternum. The single spine at each posterior angle of protliorax<br>is relatively short, The fore vein of forewing has 3—3 basal and three scattered distal<br>spincs<br> hind vein has {our spines. Length, .093 mm.<br>Orotc Point, July 19, “predacious on red spider”, holotype female, one<br>paratype female, Swezey (5479).<br>S. clams is most closely related to S. albm Jones found in California, but<br>is immediately separated by the shorter mouth cone and orange crescents of<br>ocellL In S. arlbm the mouth cone extends to the posterior margin of. the pro—<br>thorax and the crescents of ocelli are yellow"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Mesothrips guamensis.jpg,"17. Mesothrips swezeyi, new species.<br>Holotype female (?) : head, thorax and fore legs blackish brown, abdomen, middle<br>and hind legs black with joints of legs lighter. Antennae uniformly blackish brown<br><br>prominent spines light yellow, almost clear. Wings light brown<br> forewings with a median<br>dark streak that ends in a broadened cloudy area at about two thirds length of wing.<br>Head almost twice longer than width at eyes, Where it is broadest, with cheeks almost<br>straight and narrowed toward base<br> cheeks with several moderately short stout spines<br><br>eyes semiovate. Antenna with segments 3 and 4 elongate elevate, with 4 somewhat larger<br><br>8 slightly constricted at base, clearly separated from 7. Anterior margin of protllorax<br>almost straight<br> prothorax with a median, full-length thickening<br> postangular spines<br>alone prominent, others small, all with pointed tips. Fore femora greatly enlarged, each<br>lore tarsus armed with a stout, broad—seated toothi \Vings long, somewhat narrowed in<br>the middle, fore pair with 32 double fringe hairs. Spines on sides of abdomen becoming<br>Very long and prominent on segments 6 to 9. Tube almost as long as head, more than<br>four times longer than width at base.<br>Total body length 287 min<br> head length 0.435 mm, Width across eyes 0.264 mm,<br>near posterior margin 0.220 mm. Prothorax length 0.264 mmi, width not including eoxae<br>0.47 mm<br> tube length 0444 mm., width at base (1.102 mm. Fore femora length 0.47 mm.,<br>Width at middle 0.19 mm, Antennal segments length (width) : II, 80 (43)<br> IIIy 106 (46) <br><br>IV. 126 (50) <br> V, 113 (46) <br> VI, 96 (33) <br> VII, 80 (30) <br> VIII, 56<br> total 690 microns.<br>Upi, May 5, under bark of Hibiscus tiliaceus, holotype female ( ?), Swezey<br>(5465 ).<br>This species may be separated from jordmzi by its uniformly blackish brown<br>antennae, in jm‘dam' antenna] segments three to eight are yellowish brown. In<br>jardani also there is a thickened ring at base of head while this is wanting in<br>swezeyi.<br>midlatcrals 83<br> on posterior angles outer 133, inner 100<br> on ninth abdominal segment $67,<br>at tip of tube 294 microns. Length of lore Iemora 0.455 rum, width near middle 0.176 mm.<br>Upi, May 5, under bark of Hill'ircur tiliaceus along with M mot/trips swe—<br>scyi, holotype male, Swezey (5465).<br>This species, although having the same general appearance and color as<br>rwezeyi is easily separated by the crescent-shaped fore margin of prothorax.<br>From jordtmi it may be separated by its uniformly dark brown antenna<br> from<br>selidem by its broadly triangular tarsal tooth without setae<br> and from all-unudi<br>Vuillet which has a clear yellow third antennal segment (in guammmis the<br>antenna is uniformly dark brown)."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/thrips-of-guam/merged_images/Taeniothrips setipennis.jpg,"6. Taeniothrips setipennis Kamy, Delhi Proefstation, Sumatra, 23: 32, 1925<br>(from i11ega-Zur0thrips).<br>Taeniothrip: varicowz-ix Moulton, Nat‘ Hist. Soc. Formosa, Trans, 181292,<br>1928.<br>Phi, May I, in ﬂowers of Lumawza glama, one female, Swezey (5464).<br>7. Taem'othrips vitticornis Karny, Siam Soc. Jour. 16(2): 103, 1922 (from<br>Plzyxathrips).<br>Taeniothrip: mum/(21mg Moulton, Annot. Zool‘ Jap. 11 : 295, 1928,<br>Piti, June 22, in ﬂowers of Bm‘ringtonia rucmnvom», Swezey, Usinger<br><br>Inarajan, June 25, in ﬂowers of Barringtania racemom, Swezey, Usinger.<br>Five females."
