bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Limonia-jocularis-0.jpg,tipulidae-of-guam-0.jpg,Limonia jocularis,1170,171,1168,996
Limonia-nesopicta-1.jpg,tipulidae-of-guam-0.jpg,Limonia nesopicta,1168,166,1438,1173
Limonia-strigivena-2.jpg,tipulidae-of-guam-0.jpg,Limonia strigivena,1168,169,1580,1448
Limonia-swezeyana-3.jpg,tipulidae-of-guam-0.jpg,Limonia swezeyana,1165,164,1708,1580
Limonia-swezeyana-4.jpg,tipulidae-of-guam-1.jpg,Limonia swezeyana,1238,267,702,265
Limonia-guamicola-5.jpg,tipulidae-of-guam-1.jpg,Limonia guamicola,1230,263,1764,1457
Limonia-fullawayi-6.jpg,tipulidae-of-guam-2.jpg,Limonia fullawayi,1155,189,1725,1465
Limonia-soridida-7.jpg,tipulidae-of-guam-3.jpg,Limonia soridida,1233,267,485,255
Limonia-obesula-8.jpg,tipulidae-of-guam-3.jpg,Limonia obesula,1233,263,644,499
Conosia-irrorata-insularis-9.jpg,tipulidae-of-guam-3.jpg,Conosia irrorata insularis,1233,267,1083,658
Trentepholia-guamensis-10.jpg,tipulidae-of-guam-3.jpg,Trentepholia guamensis,1235,263,1264,1090
Gonomyia-pietatis-11.jpg,tipulidae-of-guam-3.jpg,Gonomyia pietatis,1238,267,1385,1271
Styringomyia-didyama-12.jpg,tipulidae-of-guam-3.jpg,Styringomyia didyama,1238,263,1520,1399
