image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Limonia jocularis.jpg,"1. Limom'a (Libnotes) jocularis Alexander, Annot‘ Zool. Jap. 19: 205—207,<br>1940.<br>Fadian, Sept, 18, Swezey, 4 badly molded specimens<br> “ex rotten bark of<br>dug—dug, Swezey."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Limonia soridida.jpg,"6. Limonia (Dicranomyia) sordida (Brunetti).<br>Dicnmomyia mrdida Brunetti, Fauna British India, Dipt. Nematocera, 382,<br>383, 1912.<br>Piti, July 13, 24, Swezey<br> Talofofo, june 17, Swezey.<br>Widespread in continental Asia and the Greater Sunda Islands. Hitherto<br>not recorded from the Micronesian Islands."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Limonia obesula.jpg,"7. Limonia (Idioglochina) obesuIa (Edwards).<br>D'icmnomyia (Id-iaglochma.) obemla. Edwards, Arm. Mag. Nat‘ Hist. IX<br>20: 232, 1927.<br>Tarague, April 19, Bryan."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Limonia strigivena.jpg,"3. Limonia (Libnotes) strigivena (Walker).<br>Limnabia smgri'yena Walker, Linn. Soc. London, Jour. 5: 229, 1861.<br>Fadian, Sept. 22, Swezey<br> “ex rotten bark of dug—dug”, Swezey."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Styringomyia didyama.jpg,"11. Styringomyia didyma Grimshaw, Fauna Hawaiiensis, 3 : 10, 1901‘<br>Ritidian Pt, April 22, Bryan<br> Piti, April 30, Usinger<br> Agat, May 20, 31,<br>Usinger<br> Sumay Road, June 23, Usinger, July 15, Swezey."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Trentepholia guamensis.jpg,"9. Trentepohlia (Mongoma) guamensis (Alexander).<br>Mongoma gmmwmis Alexander, Canad. But. 47: 83, 1915,<br>Ritidian PL, April 15, Bryan<br> Talofofo, Headwaters Plateau, June 18, \<br>Usiuger<br> Yigo, Nov 8, on rotten corn stalk, Swezey.<br>Caroline Islands: Kusaie-Mt. Wakapp, Jan. 26, Z. Ono."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Limonia guamicola.jpg,"5. Limonia (Dicranomyia) guamicola, new species (ﬁg. 1, a, b).<br>Belongs to the puncmlam group<br> size large<br> general coloration of thorax reddish<br>brown, variegated with darker, including a narrow brownish black pleural stripe<br> male<br>hypopyginm with a single rostral spine that is placed far out at tip of prolongation<br> mesal»<br>apical lobe of gonapophysis slender, nearly straight, blackened Male, length about 8 mm,<br>wing, 9 min.<br>Rostrum and palpi black. Antennae black throughout<br> ﬂagellar segments oval to long-<br>oval<br> terminal segment about one—fourth longer than the penultimate Head blackish gray<br><br>anterior vertex reduced to a linear strip that is about as wide as a single ommatidium."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Gonomyia pietatis.jpg,"10. Gonomyia (Lipophleps) pietatis Alexander, Annot. Zool. Iap, 19:220-<br>221, 1940.<br>Piti, May 23, from grass, Swezey."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Limonia swezeyana.jpg,"4. Limonia (Limonia) swezeyana, new species.<br>Belongs to the albiiarri: group<br> general coloration of mesonotum medium brown<br><br>pleura paler<br> legs brown, the tarsi snowy white, involving about the distal fourth or ﬁfth<br>of the basitarsus<br> wings with a strong brownish tinge<br> Sc) ending about opposite twnvﬁfths<br>the length of Rs<br> male hypopygium with two rostral spines. Male, length about 5 mini,<br>wing 5.5 mm,<br> female, length about 5 mm, wing, 5 mmr<br>Rostrum and palpi black. Antennae black throughout. Head dark.<br>Mesonotum almost uniformly medium brown<br> pleura palerr Halteres dark brown<br>Legs brown, the tarsi snowy white, this including about the distal fourth or ﬁfth of the<br>basitarsus, as well as the outer tarsal segments. \Vings with a strong brownish tinge<br><br>stigma not or scarcely darker<br> veins dark brown. Venation: 5c, ending about opposite<br>twoeﬁfths the length of R5, 5:: a short distance from its tip<br> free tip of 51‘s lying a short<br>distance beyond the level of R2<br> mecu close to fork of M. '<br>Abdominal tergites dark brown, the caudal borders of the segments a triﬂe paler. Male<br>hypopygium with the tel‘gite transverse, the sotae apical, Basistyle relatively long, the<br>lobes much as in albitarris. Dorsal dististyle a nearly straight, stout rodl Ventral disti-<br>style small, the prolongation conspicuous, bearing two long conspicuous spines from a<br>common tubercle<br> outer spine about four—ﬁfths as long as the inner and a little more slen-<br>der. Gonapopllyses with mosal—apical lobe long, straight and very slenden"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/b172/tipulidae-of-guam/merged_images/Limonia nesopicta.jpg,"2. Limonia (Libnotes) nesopicta Alexander, ?<br>Libnates pitta Alexander, Canad. Ent. 47:80-82, ﬁg.) 1915 (name pre-<br>occupied in Limmtia).<br>Limam'a (Lilmotes) nempicta Alexander, Annot. ZooL Jap. 19 : 204, 1940.<br>Piti, Nov. 3, at light, Swezey, one specimen.<br>The abdomen shows three intermediate tergites with broad and conspicuous<br>black bandsi"
