bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Dacus-ochrosiae-0.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-0.jpg,Dacus ochrosiae,1145,173,1651,1199
Spathulina-acroleuca-1.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-1.jpg,Spathulina acroleuca,1237,262,1293,1063
Dacus-ochrosiae-2.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-1.jpg,Dacus ochrosiae,1237,270,650,235
Cycasia-oculata-3.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-2.jpg,Cycasia oculata,1189,169,1368,880
Rhabdochaeta-guamae-4.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-3.jpg,Rhabdochaeta guamae,1257,298,501,252
Chrysomyza-aenea-5.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-4.jpg,Chrysomyza aenea,1153,170,1427,983
Pogonortalis-fulvofemoralis-6.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-4.jpg,Pogonortalis fulvofemoralis,1157,167,1687,1437
Pogonortalis-fulvofemoralis-7.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-5.jpg,Pogonortalis fulvofemoralis,1284,292,890,258
Guamomyia-fascipennis-8.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-6.jpg,Guamomyia fascipennis,1133,167,774,206
Scholastes-aitapensis-9.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-6.jpg,Scholastes aitapensis,1131,162,1680,1540
Scholastes-hirtiventris-10.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-7.jpg,Scholastes hirtiventris,1247,275,1210,356
Scholastes-aitapensis-11.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-7.jpg,Scholastes aitapensis,1251,272,344,264
Psudorhicnoessa-spinipes-12.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-8.jpg,Psudorhicnoessa spinipes,1143,177,649,210
Czernyola-atrifrons-13.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-8.jpg,Czernyola atrifrons,1149,179,1673,1202
Czernyola-atrifrons-14.jpg,trypetidae-otitidae-helomyzidae-and-clusiidae-of-guam-diptera-9.jpg,Czernyola atrifrons,1245,281,443,274
