bb_image,page_image,species_name,xbr,xtl,ybr,ytl
Liris-aurata-0.jpg,wasps-of-guam-0.jpg,Liris aurata,1261,254,1376,923
Notogonidea-manilae-1.jpg,wasps-of-guam-0.jpg,Notogonidea manilae,1264,254,1718,1383
Pison-argentatum-2.jpg,wasps-of-guam-1.jpg,Pison argentatum,1179,181,1356,350
Pison-lagunae-3.jpg,wasps-of-guam-1.jpg,Pison lagunae,1185,183,1555,1366
Pison--4.jpg,wasps-of-guam-1.jpg,Pison ,1185,185,1679,1573
Polistes-macaensis-5.jpg,wasps-of-guam-2.jpg,Polistes macaensis,1254,263,883,293
Polistes-semiflavus-6.jpg,wasps-of-guam-2.jpg,Polistes semiflavus,1253,266,1137,888
Icaria-marginata-7.jpg,wasps-of-guam-2.jpg,Icaria marginata,1257,264,1594,1139
Icaria-marginata-8.jpg,wasps-of-guam-3.jpg,Icaria marginata,1179,213,477,187
Rhynchium-brunneum-9.jpg,wasps-of-guam-3.jpg,Rhynchium brunneum,1178,210,1065,489
Pachodynerus-nasidens-10.jpg,wasps-of-guam-3.jpg,Pachodynerus nasidens,1184,210,1676,1074
